model,snapshot,redshift,theory_model,reference_model,log10_M200c_center_Msun,log10_c200c_median,theory_c200c,sim_over_theory,sim_over_theory_minus_1,ratio_low_16th,ratio_high_84th,n_halos_bin,source_file
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,8.3750000000e+00,1.1659949150e+00,1.7681146798e+01,8.2886630502e-01,-1.7113369498e-01,3.5803557857e-01,7.8065945190e-01,64657,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,8.6250000000e+00,1.1746612859e+00,1.6983063767e+01,8.8032948021e-01,-1.1967051979e-01,3.4575330552e-01,7.5888070175e-01,45366,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,8.8750000000e+00,1.1727284355e+00,1.6293101075e+01,9.1353393313e-01,-8.6466066873e-02,3.3726965610e-01,7.0903783909e-01,27546,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,9.1250000000e+00,1.1639536979e+00,1.5612987926e+01,9.3425982565e-01,-6.5740174347e-02,3.3631797228e-01,6.8632765711e-01,16578,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,9.3750000000e+00,1.1524075872e+00,1.4941710858e+01,9.5062068312e-01,-4.9379316877e-02,3.2990520234e-01,6.1128079253e-01,9825,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,9.6250000000e+00,1.1459531592e+00,1.4278563248e+01,9.8009607410e-01,-1.9903925896e-02,3.3271157304e-01,5.7934637657e-01,5995,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,9.8750000000e+00,1.1195833874e+00,1.3623127288e+01,9.6673306496e-01,-3.3266935043e-02,2.9721792662e-01,5.5017700371e-01,3519,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,1.0125000000e+01,1.1039629308e+00,1.2974811691e+01,9.7917849617e-01,-2.0821503835e-02,3.0579455941e-01,4.9305640369e-01,2079,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,1.0375000000e+01,1.0843822232e+00,1.2332971013e+01,9.8472397653e-01,-1.5276023472e-02,3.2715312345e-01,4.4795728632e-01,1283,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,diemer19,DiemerJoyce19,1.0625000000e+01,1.0654803839e+00,1.1697377775e+01,9.9401255058e-01,-5.9874494179e-03,3.1220223884e-01,3.7541162769e-01,761,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
