dataset,model,z,snap,x,y,err,lo,hi,count,theory,reference,particleMass,mass50
hmf.fof,PL,2.0333177828202462,44,119945728.41217631,17.39309509320025,0.04518113797732115,17.347913955222932,17.43827623117757,,,,,
hmf.fof,PL,2.0333177828202462,44,176726513.47172454,11.817450723930534,0.03724179709832202,11.780208926832213,11.854692521028856,,,,,
hmf.fof,PL,2.0333177828202462,44,259569271.91480237,8.474904327887813,0.0315381439944515,8.443366183893362,8.506442471882265,,,,,
hmf.fof,PL,2.0333177828202462,44,381353073.8554813,5.8550896982366325,0.02621413344863896,5.828875564787993,5.881303831685272,,,,,
hmf.fof,PL,2.0333177828202462,44,559812230.3139863,4.172080031128043,0.02212814685299658,4.149951884275046,4.194208177981039,,,,,
hmf.fof,PL,2.0333177828202462,44,821272750.3996118,2.8716792562631075,0.018358478918354793,2.8533207773447526,2.8900377351814623,,,,,
hmf.fof,PL,2.0333177828202462,44,1204969652.0694473,2.0182032242398398,0.015390445007548055,2.0028127792322916,2.033593669247388,,,,,
hmf.fof,PL,2.0333177828202462,44,1768526967.130835,1.4067331847952267,0.012849155823371393,1.3938840289718553,1.4195823406185981,,,,,
hmf.fof,PL,2.0333177828202462,44,2596822356.4144096,1.001825001285838,0.010843379620028086,0.9909816216658099,1.012668380905866,,,,,
hmf.fof,PL,2.0333177828202462,44,3802681553.488506,0.700784569198423,0.009069033263366137,0.6917155359350569,0.7098536024617892,,,,,
hmf.fof,PL,2.0333177828202462,44,5596810980.526231,0.48530299675690497,0.0075470150519108175,0.47775598170499417,0.49285001180881577,,,,,
hmf.fof,PL,2.0333177828202462,44,8197416933.9783745,0.3286211344424024,0.006210355694960851,0.3224107787474415,0.33483149013736324,,,,,
hmf.fof,PL,2.0333177828202462,44,12039428323.730349,0.24247545134214404,0.005334609300678813,0.23714084204146524,0.24781006064282285,,,,,
hmf.fof,PL,2.0333177828202462,44,17548231402.50871,0.16466266129381804,0.004396087162575031,0.160266574131243,0.16905874845639307,,,,,
hmf.fof,PL,2.0333177828202462,44,26157161762.907024,0.11337429138262882,0.003647758032132446,0.10972653335049637,0.11702204941476127,,,,,
hmf.fof,PL,2.0333177828202462,44,38367360737.64208,0.07793015473919827,0.0030242765284602307,0.07490587821073805,0.0809544312676585,,,,,
hmf.fof,PL,2.0333177828202462,44,55772337723.71957,0.057156604454803556,0.0025900129754786124,0.054566591479324945,0.059746617430282166,,,,,
hmf.fof,PL,2.0333177828202462,44,82096448533.51424,0.03520940726168597,0.0020328160760541563,0.033176591185631814,0.037242223337740125,,,,,
