model,z,snap,box,k_hMpc,P_Mpc_over_h_cubed,source_file
PL,19.40664523021168,24,25,0.32072956064263475,3.5968565507208163,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,0.5606619683395725,0.8543344121401878,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,0.787700109846164,0.40124044953838295,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,1.0205350124370263,0.27848752613269667,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,1.2811623763405762,0.1765918442107648,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,1.5386083750512618,0.10062380785941485,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,1.7773229368951355,0.0730452307532642,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,2.016922174616909,0.054622541284208875,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,2.276370248265442,0.04398687621674592,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,2.5367369097912875,0.03203086914852053,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,2.7799951337842748,0.02676876384043657,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,3.0232513459545807,0.020837914892795902,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,3.27850725349039,0.017464606287535874,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,3.5320903813324764,0.013967704262346241,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,3.7740842065088223,0.012573409892624402,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,4.0223998293999035,0.010616651298248023,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,4.280552523081682,0.009380119675030885,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,4.537090733730488,0.007656429836852884,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,4.784354808644596,0.006864981918377374,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,5.031213959107016,0.0060091030950373886,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,5.285957311443282,0.005316971336730417,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,5.538249178821105,0.004870660451062741,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,5.785985141724235,0.004185445688517353,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
