dataset,model,z,snap,box,x,y
power,PL,19.40664523021168,24,25,0.32072956064263475,3.5968565507208163
power,PL,19.40664523021168,24,25,0.5606619683395725,0.8543344121401878
power,PL,19.40664523021168,24,25,0.787700109846164,0.40124044953838295
power,PL,19.40664523021168,24,25,1.0205350124370263,0.27848752613269667
power,PL,19.40664523021168,24,25,1.2811623763405762,0.1765918442107648
power,PL,19.40664523021168,24,25,1.5386083750512618,0.10062380785941485
power,PL,19.40664523021168,24,25,1.7773229368951355,0.0730452307532642
power,PL,19.40664523021168,24,25,2.016922174616909,0.054622541284208875
power,PL,19.40664523021168,24,25,2.276370248265442,0.04398687621674592
power,PL,19.40664523021168,24,25,2.5367369097912875,0.03203086914852053
power,PL,19.40664523021168,24,25,2.7799951337842748,0.02676876384043657
power,PL,19.40664523021168,24,25,3.0232513459545807,0.020837914892795902
power,PL,19.40664523021168,24,25,3.27850725349039,0.017464606287535874
power,PL,19.40664523021168,24,25,3.5320903813324764,0.013967704262346241
power,PL,19.40664523021168,24,25,3.7740842065088223,0.012573409892624402
power,PL,19.40664523021168,24,25,4.0223998293999035,0.010616651298248023
power,PL,19.40664523021168,24,25,4.280552523081682,0.009380119675030885
power,PL,19.40664523021168,24,25,4.537090733730488,0.007656429836852884
power,PL,19.40664523021168,24,25,4.784354808644596,0.006864981918377374
power,PL,19.40664523021168,24,25,5.031213959107016,0.0060091030950373886
power,PL,19.40664523021168,24,25,5.285957311443282,0.005316971336730417
power,PL,19.40664523021168,24,25,5.538249178821105,0.004870660451062741
power,PL,19.40664523021168,24,25,5.785985141724235,0.004185445688517353
power,PL,19.40664523021168,24,25,6.034136131752394,0.0039057382579260093
power,PL,19.40664523021168,24,25,6.286911813219537,0.0033742211018323157
power,PL,19.40664523021168,24,25,6.54166682420824,0.003092783813124399
power,PL,19.40664523021168,24,25,6.793019941028072,0.0029179425439803913
power,PL,19.40664523021168,24,25,7.044049470420791,0.0026533526599307913
power,PL,19.40664523021168,24,25,7.295989038663275,0.002462450224734359
power,PL,19.40664523021168,24,25,7.546022875800913,0.002266439651514124
power,PL,19.40664523021168,24,25,7.796320632595667,0.002071283678944358
power,PL,19.40664523021168,24,25,8.04569565437213,0.0018660892285459693
power,PL,19.40664523021168,24,25,8.295810539385062,0.0017666233550854469
power,PL,19.40664523021168,24,25,8.549551313965676,0.0016399951336981745
power,PL,19.40664523021168,24,25,8.801317467211248,0.0015332325708866765
power,PL,19.40664523021168,24,25,9.051715364342233,0.0014368420483919133
power,PL,19.40664523021168,24,25,9.303933965686708,0.0013526839407699122
power,PL,19.40664523021168,24,25,9.555557996267446,0.001245054051135703
power,PL,19.40664523021168,24,25,9.80486850979469,0.0011668606826257242
power,PL,19.40664523021168,24,25,10.054942567415612,0.0011162147734057758
power,PL,19.40664523021168,24,25,10.308274496268336,0.0010289459087364635
power,PL,19.40664523021168,24,25,10.560810068695892,0.0009712250650163769
power,PL,19.40664523021168,24,25,10.811584699358507,0.0009112654757150958
power,PL,19.40664523021168,24,25,11.062453457041169,0.0008559749823355146
power,PL,19.40664523021168,24,25,11.314786957671013,0.0008101680331991372
power,PL,19.40664523021168,24,25,11.565937880035426,0.0007758594909877067
power,PL,19.40664523021168,24,25,11.814085010948824,0.0007200468874819726
power,PL,19.40664523021168,24,25,12.064293330625782,0.000696314569290529
power,PL,19.40664523021168,24,25,12.317521238569554,0.0006509149740481631
power,PL,19.40664523021168,24,25,12.571032385248238,0.0006278627968478135
power,PL,19.40664523021168,24,25,12.821843069043268,0.0005996802335391057
power,PL,19.40664523021168,24,25,13.072502986326512,0.0005663837055141242
power,PL,19.40664523021168,24,25,13.324942706400424,0.0005498181330445876
power,PL,19.40664523021168,24,25,13.576176707479814,0.000521988630088872
power,PL,19.40664523021168,24,25,13.82555646698322,0.0004990985253342519
power,PL,19.40664523021168,24,25,14.075222265910044,0.0004670763954430204
power,PL,19.40664523021168,24,25,14.32811852917941,0.00045167247544942264
power,PL,19.40664523021168,24,25,14.580461685752585,0.0004296139886671794
power,PL,19.40664523021168,24,25,14.830552404971625,0.00041005339521386767
power,PL,19.40664523021168,24,25,15.08215309851155,0.0003938859769587148
power,PL,19.40664523021168,24,25,15.334342820333537,0.0003764936016938696
power,PL,19.40664523021168,24,25,15.5860439155924,0.0003616581101392308
power,PL,19.40664523021168,24,25,15.835068837290374,0.0003466439435265763
power,PL,19.40664523021168,24,25,16.08449366682584,0.0003352406340710333
power,PL,19.40664523021168,24,25,16.338138266722677,0.00032091700052240145
power,PL,19.40664523021168,24,25,16.590773181146194,0.00030943007341682093
power,PL,19.40664523021168,24,25,16.842164585753792,0.000294877982324081
power,PL,19.40664523021168,24,25,17.093141526529084,0.0002834635027947971
power,PL,19.40664523021168,24,25,17.344842926726773,0.0002745149901686046
power,PL,19.40664523021168,24,25,17.59671504894166,0.00026524202641699447
power,PL,19.40664523021168,24,25,17.84592583282211,0.0002543005261930194
power,PL,19.40664523021168,24,25,18.096741808972432,0.0002460514624464103
power,PL,19.40664523021168,24,25,18.348607136620142,0.00023944569940679208
power,PL,19.40664523021168,24,25,18.60101336990868,0.00023115284341515657
power,PL,19.40664523021168,24,25,18.852551541782248,0.00022164874663068993
power,PL,19.40664523021168,24,25,19.10320472609246,0.00021362484992279782
power,PL,19.40664523021168,24,25,19.355236149567805,0.00020606110315373916
power,PL,19.40664523021168,24,25,19.605996073418613,0.00019893080409242792
power,PL,19.40664523021168,24,25,19.855971980449656,0.0001947888659233466
power,PL,19.40664523021168,24,25,20.106635831090703,0.00018721253590838903
power,PL,19.40664523021168,24,25,20.35857305190006,0.00018103686713015873
power,PL,19.40664523021168,24,25,20.610988701236806,0.00017620043079874653
power,PL,19.40664523021168,24,25,20.862646236697852,0.00017115822974060962
power,PL,19.40664523021168,24,25,21.11314497992686,0.00016502714936634177
power,PL,19.40664523021168,24,25,21.36464071217916,0.0001606700729921093
power,PL,19.40664523021168,24,25,21.617216570183352,0.0001546520319503167
power,PL,19.40664523021168,24,25,21.867907000228907,0.00014999622239303498
power,PL,19.40664523021168,24,25,22.118380934686936,0.00014596470439809904
power,PL,19.40664523021168,24,25,22.369760043372604,0.00014243909625008547
power,PL,19.40664523021168,24,25,22.622182780751523,0.0001386168137232578
power,PL,19.40664523021168,24,25,22.874179927983825,0.00013496035483245435
power,PL,19.40664523021168,24,25,23.124905045653037,0.0001316399783011075
power,PL,19.40664523021168,24,25,23.376218733652543,0.00012606827341960598
power,PL,19.40664523021168,24,25,23.62677019857868,0.00012340794686543257
power,PL,19.40664523021168,24,25,23.87663985612261,0.00011961116952662609
power,PL,19.40664523021168,24,25,24.12683364571325,0.00011687505288364505
power,PL,19.40664523021168,24,25,24.37875191845385,0.00011218559568517852
power,PL,19.40664523021168,24,25,24.63247310093604,0.00011090321712989782
power,PL,19.40664523021168,24,25,24.884090136607472,0.00010718647845741228
power,PL,19.40664523021168,24,25,25.1346414659627,0.00010405929749285723
power,PL,19.40664523021168,24,25,25.385845831243543,0.00010142947584497435
power,PL,19.40664523021168,24,25,25.637585208635205,9.87899703758535e-05
power,PL,19.40664523021168,24,25,25.88948668125444,9.676445648180563e-05
power,PL,19.40664523021168,24,25,26.139069033235916,9.37478815559149e-05
power,PL,19.40664523021168,24,25,26.390547380112228,9.164812228295136e-05
power,PL,19.40664523021168,24,25,26.64300560904685,8.860991863731779e-05
power,PL,19.40664523021168,24,25,26.89360701301547,8.74712552477576e-05
power,PL,19.40664523021168,24,25,27.14431675423385,8.59468451394716e-05
power,PL,19.40664523021168,24,25,27.396541256600635,8.3529053379615e-05
power,PL,19.40664523021168,24,25,27.649003093917827,8.16650968632064e-05
power,PL,19.40664523021168,24,25,27.89884103880582,7.950993606376574e-05
power,PL,19.40664523021168,24,25,28.14922945105167,7.721357494412692e-05
power,PL,19.40664523021168,24,25,28.400870907962133,7.535719368394187e-05
power,PL,19.40664523021168,24,25,28.65300236168307,7.369668594249861e-05
