model,snapshot,redshift,box_size_mpc,particle_mass_msun,log10_M_FOF_Msun,dn_dlog10M,poisson_err,counts,log10_bin_left,log10_bin_right,source_fof_file
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,7.0841040210e+00,1.7636650300e+02,1.4387216584e-01,1502722,7.0000000000e+00,7.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,7.2553792577e+00,1.0024294294e+02,1.0846650179e-01,854115,7.1666666667e+00,7.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,7.4222130578e+00,6.5508510587e+01,8.7683442533e-02,558162,7.3333333333e+00,7.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,7.5868842219e+00,3.9000169412e+01,6.7655323715e-02,332299,7.5000000000e+00,7.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,7.7485802928e+00,2.7041763695e+01,5.6336029649e-02,230408,7.6666666667e+00,7.8333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,7.9127814102e+00,1.7974050313e+01,4.5929498786e-02,153147,7.8333333333e+00,8.0000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,8.0789859094e+00,1.2908707620e+01,3.8923341061e-02,109988,8.0000000000e+00,8.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,8.2473042801e+00,8.7532933746e+00,3.2051951127e-02,74582,8.1666666667e+00,8.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,8.4144741986e+00,6.2713822568e+00,2.7130035752e-02,53435,8.3333333333e+00,8.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,8.5814134574e+00,4.3846274863e+00,2.2684806579e-02,37359,8.5000000000e+00,8.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,8.7484688437e+00,3.1304683996e+00,1.9167849541e-02,26673,8.6666666667e+00,8.8333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,8.9153269523e+00,2.2055172709e+00,1.6088811414e-02,18792,8.8333333333e+00,9.0000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,9.0815316917e+00,1.5840712327e+00,1.3635029540e-02,13497,9.0000000000e+00,9.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,9.2476533748e+00,1.0990029653e+00,1.1357118618e-02,9364,9.1666666667e+00,9.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,9.4159486584e+00,7.7261176001e-01,9.5224650369e-03,6583,9.3333333333e+00,9.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,9.5815714526e+00,5.6475889248e-01,8.1414220400e-03,4812,9.5000000000e+00,9.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,9.7473396014e+00,3.9340644380e-01,6.7950000489e-03,3352,9.6666666667e+00,9.8333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
