model,k_hMpc,P_k_Mpc_over_h_cubed,source_file
PL,1.0000000000e-04,6.8718566220e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0100000000e-04,6.9381264260e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0201000000e-04,7.0050348100e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0303010000e-04,7.0725879140e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0406040100e-04,7.1407919340e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0510100500e-04,7.2096531260e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0615201510e-04,7.2791778060e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0721353520e-04,7.3493723510e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0828567060e-04,7.4202431970e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.0936852730e-04,7.4917968430e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1046221250e-04,7.5640398490e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1156683470e-04,7.6369788380e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1268250300e-04,7.7106204960e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1380932800e-04,7.7849715720e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1494742130e-04,7.8600388790e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1609689550e-04,7.9358292970e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1725786450e-04,8.0123497700e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1843044310e-04,8.0896073070e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.1961474760e-04,8.1676089850e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.2081089500e-04,8.2463619490e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.2201900400e-04,8.3258734100e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.2323919400e-04,8.4061506490e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.2447158600e-04,8.4872010150e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.2571630180e-04,8.5690319280e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
