family,snapshot,redshift,k_hMpc,P_Mpc_over_h_cubed,source_file
PL_128_1024,0016,42.74345637,6.2642492313e-02,9.9706582553e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.0950429069e-01,3.7044464979e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.5384767770e-01,2.2307692487e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.9932324462e-01,1.7598459946e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,2.5022702663e-01,1.2401380350e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.0050944825e-01,7.4921572572e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.4713338611e-01,5.7838739371e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,3.9393011223e-01,4.2976855671e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.4460356411e-01,3.7266631026e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,4.9545642769e-01,2.9281106946e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.4296779957e-01,2.3616780215e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.9047877851e-01,1.8966152793e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,6.4033344795e-01,1.6556494398e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,6.8986140260e-01,1.3259552125e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,7.3712582158e-01,1.2862348854e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,7.8562496668e-01,1.0447126630e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,8.3604541466e-01,9.1677541206e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,8.8615053393e-01,7.8773064333e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,9.3444429856e-01,7.1493266361e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,9.8265897639e-01,6.4979561261e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.0324135374e+00,5.7330255093e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.0816892927e+00,5.2341025074e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.1300752230e+00,4.7272264225e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.1785422132e+00,4.2394707696e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.2279124635e+00,3.9292993093e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.2776693016e+00,3.6848285588e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.3267617072e+00,3.3988524969e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.3757909122e+00,3.2988105719e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.4249978591e+00,3.0159585576e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.4738325929e+00,2.8352208404e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.5227188736e+00,2.6414160176e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,1.5714249325e+00,2.4121604368e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
