set,run,source_run_label,k_p_hMpc,m_s,N,L_box_hinv_Mpc,m_DM_hinv_Msun,epsilon_Pl_kpc
Main,PL,pl_25_1024,,,1024^3,25,1.27e6,0.725
Main,BT_soft,kp_1_ms_1.5_25_1024,1,1.5,1024^3,25,1.27e6,0.725
Main,BT_deep,kp_10_ms_1.5_25_1024,10,1.5,1024^3,25,1.27e6,0.725
BT check,BT_soft-5,kp_1_ms_1.5_5_1024,1,1.5,1024^3,5,1.02e4,0.145
BT check,BT_soft-2.5,kp_1_ms_1.5_2.5_1024,1,1.5,1024^3,2.5,1.59e3,0.072
Resolution,PL-25-512,pl_25_512,,,512^3,25,1.02e7,1.45
Resolution,PL-25-256,pl_25_256,,,256^3,25,8.15e7,2.90
Volume,PL-50-512,pl_50_512,,,512^3,50,8.15e7,2.90
Volume,PL-128-1024,pl_128_1024,,,1024^3,128,1.71e8,3.71
Volume,PL-256-1024,pl_256_1024,,,1024^3,256,1.37e9,7.42
Volume,BT_kp1-256,bluetilted_kp1_ms1.5_256,1,1.5,1024^3,256,1.37e9,7.42
Volume,BT_kp10-256,bluetilted_kp10_ms1.5_256,10,1.5,1024^3,256,1.37e9,7.42
Volume,PL-256-512,pl_256_512,,,512^3,256,1.09e10,14.85
