file,format,n_rows,description,source
public_data/REPRODUCIBILITY_PACKAGE.md,md,,Quick-start and scope for the self-contained all-figure reproducibility archive.,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/REPRODUCIBILITY_PACKAGE.md
public_data/requirements-figures.txt,txt,,Python dependencies for regenerating all manuscript figures.,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/requirements-figures.txt
public_data/CATALOG_RELEASE.md,md,,Schema selection rules and validation record for the separately distributed compact per-halo catalog.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/public_catalog_release_2026-07-23
public_data/figure_data/metadata/simulation_suite.csv,csv,13,Simulation suite parameters corresponding to manuscript Table 1.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/main.tex
public_data/figure_data/metadata/figure_file_manifest.csv,csv,12,Manifest of current figure images in the manuscript directory.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps
public_data/figure_data/metadata/article_halo_catalog_manifest.csv,csv,9,Byte sizes and SHA-256 checksums for the compact per-halo catalog files.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/public_catalog_release_2026-07-23/catalog_manifest.csv
public_data/figure_data/input_power_spectra/input_power_spectra.csv,csv,5556,Input linear matter spectra plotted in input-power-spectrum.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition
public_data/figure_data/fof_hmf/fof_reed07_hmf_points.csv,csv,810,Binned Warren-corrected FoF halo mass function simulation points used in mass-function.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache
public_data/figure_data/m200c_hmf/m200c_bocquet16_hmf_points.csv,csv,675,Binned M200c halo mass function simulation points used in mass-function-m200c-bocquet16.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache
public_data/figure_data/halfmass_redshift/same_trackid_no_envelope_points.csv,csv,60,Same-TrackId no-envelope half-mass redshift data used in halfmass-redshift-trackid-no-envelope.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/same_trackid_no_envelope
public_data/figure_data/halfmass_redshift/same_trackid_no_envelope_summary.csv,csv,6,Same-TrackId no-envelope half-mass redshift summary.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/same_trackid_no_envelope
public_data/figure_data/halfmass_redshift/PL_same_trackid_no_envelope_points.csv,csv,20,PL half-mass redshift points.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/same_trackid_no_envelope
public_data/figure_data/halfmass_redshift/BT_soft_same_trackid_no_envelope_points.csv,csv,20,BT_soft half-mass redshift points.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/same_trackid_no_envelope
public_data/figure_data/halfmass_redshift/BT_deep_same_trackid_no_envelope_points.csv,csv,20,BT_deep half-mass redshift points.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/same_trackid_no_envelope
public_data/figure_data/mass_assembly_history/pl_warren_median_mah.csv,csv,168,PL same-TrackId median Warren-corrected FOF mass histories used in mass-assembly-history-correa-halfmass.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/bt_soft_warren_median_mah.csv,csv,168,kp=1 BT same-TrackId median Warren-corrected FOF mass histories used in mass-assembly-history-correa-halfmass.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/pl_warren_selection_summary.csv,csv,7,PL z=0 FOF mass-window selection summary for the median mass-assembly histories.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/bt_soft_warren_selection_summary.csv,csv,7,kp=1 BT z=0 FOF mass-window selection summary for the median mass-assembly histories.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/qzf_project_warren_half_mass_allmass_curves.csv,csv,5614,Correa EPS curves recomputed with the project PL and kp=1 BT spectra under the half-mass closure.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/qzf_project_warren_half_mass_allmass_params.csv,csv,14,Spectrum-dependent Correa q and formation-redshift parameters under the half-mass closure.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/qzf_project_warren_half_mass_allmass_ratio.csv,csv,7,Mass-window summary of measured-to-Correa MAH differences.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/pl_project_warren_curves.csv,csv,2807,PL Correa curves using the published fixed q and formation-redshift relations.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
public_data/figure_data/mass_assembly_history/bt_project_warren_curves.csv,csv,2807,kp=1 BT Correa curves using the published fixed q and formation-redshift relations.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_not_used_by_article_nonlinear_evolution_pps/mechanism_tests/13_correa_paper1_fig3_comparison/data
