model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_0,gap <= 0,1,100000000.0,158489319.24611133,125098164.12611735,123995596.89477737,111004,80048,0.7211271665885914,2.190612835336233,2.088139175208809,1.0954584852362095,3.248979733425711,2.7645887322381477,2.9783296269488138,-0.5739758969019149,-0.7877167916125809
PL,gap_0,gap <= 0,2,158489319.24611133,251188643.15095794,198167656.8354723,196378795.8915287,77426,59109,0.7634257226254747,2.199719035805394,2.109029352259817,1.169392478859248,3.2149835209214026,2.668342019641864,2.840762506575567,-0.46862298383646994,-0.6410434707701729
PL,gap_0,gap <= 0,3,251188643.15095794,398107170.5534973,315207868.7745487,312468373.3430127,51822,40021,0.7722781830110764,2.156860254580944,2.0872431428018325,1.174172389599819,3.128215887546933,2.5737301143337312,2.7067883231669323,-0.41686985975278734,-0.5499280685859884
PL,gap_0,gap <= 0,4,398107170.5534973,630957344.4801933,499267594.0490122,494822977.6206566,35056,27299,0.778725467822912,2.112725569063615,2.053918848463233,1.1730167867299068,3.046675061977053,2.4823835010331443,2.5786395491497527,-0.36965793196952923,-0.4659139800861376
PL,gap_0,gap <= 0,5,630957344.4801933,999999999.9999999,790621254.9776955,783659571.637246,23258,18327,0.7879869292286525,2.060081679059017,2.012852941285866,1.1635526650815997,2.939761862152388,2.3934162873317493,2.4549826554091916,-0.3333346082727324,-0.39490097635017474
PL,gap_0,gap <= 0,6,999999999.9999999,1584893192.461114,1250596782.067106,1239652572.0223527,15701,12553,0.7995032163556461,1.99941389714372,1.961774377779103,1.1194586455514424,2.830072348681396,2.3069304518948046,2.3358843558633193,-0.3075165547510845,-0.33647045871959924
PL,gap_0,gap <= 0,7,1584893192.461114,2511886431.5095806,1980636773.5124993,1963703755.1040733,9949,8064,0.8105337219821087,1.946491273068866,1.9056881538344452,1.080021596809657,2.76351312756457,2.2224237767898876,2.220585924494551,-0.2759325037210216,-0.274094651425685
PL,gap_0,gap <= 0,8,2511886431.5095806,3981071705.534973,3147678586.7111254,3120131055.831668,6848,5609,0.819071261682243,1.8893369656928354,1.8542038339519369,1.0571921843821046,2.6970580712264933,2.1394668912589987,2.108452222734167,-0.2501299255661633,-0.2191152570413315
PL,gap_0,gap <= 0,9,3981071705.534973,6309573444.801932,4973297960.333628,4930231102.722006,4496,3731,0.8298487544483986,1.8610491390395785,1.8243350972759766,1.0363871804794886,2.6712370296739225,2.059649521654509,2.0015608902264916,-0.19860038261493074,-0.14051175118691317
PL,gap_0,gap <= 0,10,6309573444.801932,10000000000.0,7871764646.94963,7802440787.141606,3000,2526,0.842,1.7713598932489156,1.7181249962703151,0.9919775966773349,2.553190074161435,1.9815624239413707,1.8979503793683397,-0.2102025306924551,-0.12659048611942403
PL,gap_0,gap <= 0,11,10000000000.0,15848931924.611141,12484895349.52899,12377140553.921242,1937,1659,0.8564790913784203,1.7174051114810434,1.6896535204480063,0.9676564293688638,2.426285372501973,1.9051348453814159,1.7974801609639526,-0.1877297339003725,-0.08007504948290922
PL,gap_0,gap <= 0,12,15848931924.611141,25118864315.095818,19903994331.50597,19726107136.64314,1310,1129,0.8618320610687022,1.6652888538677717,1.6599604593596142,0.955836091111575,2.375564049493775,1.8298435784244198,1.6994266574793708,-0.1645547245566481,-0.03413780361159913
PL,gap_0,gap <= 0,13,25118864315.095818,39810717055.34974,31505953796.947548,31228929516.429,844,744,0.8815165876777251,1.6034186196390658,1.5854793871514374,0.8908474915754125,2.2972512686612525,1.7576126367814973,1.6062341090473122,-0.15419401714243142,-0.0028154894082463855
PL,gap_0,gap <= 0,14,39810717055.34974,63095734448.01936,49573169059.53026,49137590846.2024,598,544,0.9096989966555183,1.5607593180362844,1.524744477885147,0.878722914723913,2.2160367319035457,1.6881306795329398,1.5174107904771565,-0.1273713614966554,0.04334852755912788
PL,gap_0,gap <= 0,15,63095734448.01936,100000000000.0,78602028022.42474,77926654410.68015,359,324,0.9025069637883009,1.454441742691871,1.4533298301637012,0.7707162680673743,2.113598755806365,1.6192674475161337,1.4301874774474301,-0.16482570482426273,0.024254265244440854
PL,gap_0,gap <= 0,16,100000000000.0,158489319246.11142,125096156453.12564,124018757343.99326,271,252,0.9298892988929889,1.4511439988599102,1.4617806913492846,0.8986362366179228,1.9527604887347343,1.5516313562469795,1.3453156265368031,-0.10048735738706926,0.10582837232310705
PL,gap_0,gap <= 0,17,158489319246.11142,251188643150.9582,194240536653.613,192732449375.76846,153,144,0.9411764705882353,1.356465909043217,1.3578639200723117,0.7582903539143617,1.8814687173354827,1.4891967833103714,1.2676836073464313,-0.13273087426715446,0.08878230169678569
