scope,method,label,fit,n_bins,n_halos,n_total,selected_fraction,mean_dz,mae_dz,rms_dz
per_halo,gap_0,gap <= 0,,,262310,344271,0.7619288293234109,,,
bybin_mean,gap_0,gap <= 0,BK09 original,20.0,262310,344271,0.7619288293234109,-0.23628387756433883,0.23628387756433883,0.27151712906144676
bybin_mean,gap_0,gap <= 0,COCO/Hellwing16,20.0,262310,344271,0.7619288293234109,-0.16641563861923467,0.23891578482084155,0.32268987282042794
per_halo,gap_1,gap <= 1,,,292027,344271,0.8482474562190833,,,
bybin_mean,gap_1,gap <= 1,BK09 original,20.0,292027,344271,0.8482474562190833,-0.18500590573121303,0.18500590573121303,0.20570447787313448
bybin_mean,gap_1,gap <= 1,COCO/Hellwing16,20.0,292027,344271,0.8482474562190833,-0.11514832221488047,0.1936802310261581,0.2582952822095603
per_halo,gap_2,gap <= 2,,,314254,344271,0.9128099665670358,,,
bybin_mean,gap_2,gap <= 2,BK09 original,20.0,314254,344271,0.9128099665670358,-0.12062106269797417,0.12062106269797417,0.1303332624349425
bybin_mean,gap_2,gap <= 2,COCO/Hellwing16,20.0,314254,344271,0.9128099665670358,-0.05075420685491507,0.1468498362691969,0.19186828005724013
per_halo,gap_3,gap <= 3,,,323441,344271,0.9394953394273697,,,
bybin_mean,gap_3,gap <= 3,BK09 original,20.0,323441,344271,0.9394953394273697,-0.0870686864276499,0.0870686864276499,0.09539655800467417
bybin_mean,gap_3,gap <= 3,COCO/Hellwing16,20.0,323441,344271,0.9394953394273697,-0.017197796634061624,0.1321505016775348,0.1673404092565874
per_halo,gap_5,gap <= 5,,,327635,344271,0.9516776028187097,,,
bybin_mean,gap_5,gap <= 5,BK09 original,20.0,327635,344271,0.9516776028187097,-0.06642883239593259,0.06642883239593259,0.0762934302870232
bybin_mean,gap_5,gap <= 5,COCO/Hellwing16,20.0,327635,344271,0.9516776028187097,0.003451680565545112,0.12739719419270773,0.15719456476136345
per_halo,all_gaps,all gaps,,,329621,344271,0.9574463140955817,,,
bybin_mean,all_gaps,all gaps,BK09 original,20.0,329621,344271,0.9574463140955817,-0.0547987622498166,0.0547987622498166,0.06653682718107426
bybin_mean,all_gaps,all gaps,COCO/Hellwing16,20.0,329621,344271,0.9574463140955817,0.015079522842290605,0.12187241023799558,0.1479208529991868
