model,snapshot,redshift,theory_model,selection,n_bins,log10_mass_center_min_msun,log10_mass_center_max_msun,median_sim_over_theory,median_abs_fraction,max_abs_fraction
BTKP1,0032,8.5198506050e+00,diemer19,strict_1000_particle_full_bins,6,9.625000,10.875000,9.9176825223e-01,1.3168259225e-02,7.3878582900e-02
BTKP1,0032,8.5198506050e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.6263838194e-01,3.7361618055e-02,5.3281201800e-02
BTKP1,0032,8.5198506050e+00,ishiyama21_fit,strict_1000_particle_full_bins,6,9.625000,10.875000,1.1065564306e+00,1.0655643065e-01,1.1507690640e-01
BTKP1,0032,8.5198506050e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.0950375905e+00,9.5037590450e-02,1.1100666430e-01
BTKP1,0032,8.5198506050e+00,ludlow16,strict_1000_particle_full_bins,6,9.625000,10.875000,8.8403147073e-01,1.1596852927e-01,2.0923995423e-01
BTKP1,0032,8.5198506050e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,7.4916309651e-01,2.5083690349e-01,2.6913054336e-01
BTKP1,0040,3.4410805660e+00,diemer19,strict_1000_particle_full_bins,10,9.625000,11.875000,1.0001899520e+00,1.1106087350e-02,7.1009289050e-02
BTKP1,0040,3.4410805660e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.8217285389e-01,1.7827146110e-02,2.6510352990e-02
BTKP1,0040,3.4410805660e+00,ishiyama21_fit,strict_1000_particle_full_bins,10,9.625000,11.875000,1.1388704571e+00,1.3887045710e-01,2.6577348420e-01
BTKP1,0040,3.4410805660e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.1233682447e+00,1.2336824470e-01,1.3346357880e-01
BTKP1,0040,3.4410805660e+00,ludlow16,strict_1000_particle_full_bins,10,9.625000,11.875000,7.9961014956e-01,2.0038985044e-01,2.3312137988e-01
BTKP1,0040,3.4410805660e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,7.9335247609e-01,2.0664752391e-01,2.1077422832e-01
BTKP1,0048,1.0717968600e+00,diemer19,strict_1000_particle_full_bins,12,9.625000,12.375000,1.0130427226e+00,3.9567362570e-02,1.2585323847e-01
BTKP1,0048,1.0717968600e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.0593411665e+00,5.9341166500e-02,6.3643722600e-02
BTKP1,0048,1.0717968600e+00,ishiyama21_fit,strict_1000_particle_full_bins,12,9.625000,12.375000,1.1640961834e+00,1.6409618340e-01,3.1811821230e-01
BTKP1,0048,1.0717968600e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.2009844435e+00,2.0098444350e-01,2.0566683550e-01
BTKP1,0048,1.0717968600e+00,ludlow16,strict_1000_particle_full_bins,12,9.625000,12.375000,8.8783770802e-01,1.1216229198e-01,2.3521039416e-01
BTKP1,0048,1.0717968600e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.7278315312e-01,2.7216846875e-02,3.5123251680e-02
BTKP1,0056,0.0000000000e+00,diemer19,strict_1000_particle_full_bins,12,9.625000,12.375000,1.0381983291e+00,7.4856421280e-02,1.9265749980e-01
BTKP1,0056,0.0000000000e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.2220267345e+00,2.2202673455e-01,2.3323489950e-01
