model,snapshot,redshift,log10_M200c_center_Msun,log10_M200c_left_Msun,log10_M200c_right_Msun,log10_c200c_median,log10_c200c_p16,log10_c200c_p84,n_halos_bin,n_valid_snapshot,n_total_snapshot,source_file
PL,0056,0,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,1.1659949150e+00,9.2037522708e-01,1.4542083609e+00,64657,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,1.1746612859e+00,9.5802563923e-01,1.4446506833e+00,45366,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,1.1727284355e+00,9.7262544992e-01,1.4222076680e+00,27546,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,1.1639536979e+00,9.7014497710e-01,1.4031585040e+00,16578,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,1.1524075872e+00,9.6729290490e-01,1.3680539632e+00,9825,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,1.1459531592e+00,9.6584680743e-01,1.3476538619e+00,5995,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,1.1195833874e+00,9.6003721572e-01,1.3152366485e+00,3519,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,1.1039629308e+00,9.4136381577e-01,1.2810781721e+00,2079,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,1.0843822232e+00,9.0901026554e-01,1.2472172918e+00,1283,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,1.0654803839e+00,9.0175208123e-01,1.2046265074e+00,761,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,1.0419570654e+00,8.5482043512e-01,1.1894478285e+00,433,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,1.0188201749e+00,8.6355794294e-01,1.1437207089e+00,286,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,1.0112032765e+00,8.5666559459e-01,1.1269304661e+00,147,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,9.5008357344e-01,8.1415461264e-01,1.0723967845e+00,91,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,9.3785325755e-01,7.7523026384e-01,1.0518503316e+00,66,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,8.7550119859e-01,7.1847689976e-01,1.0443645623e+00,35,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
