model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
PL,0056,0.0000000000e+00,8.3750000000e+00,9.2037522708e-01,1.4542083609e+00,2.6691656691e-01,64657,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,8.6250000000e+00,9.5802563923e-01,1.4446506833e+00,2.4331252203e-01,45366,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,8.8750000000e+00,9.7262544992e-01,1.4222076680e+00,2.2479110904e-01,27546,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,9.1250000000e+00,9.7014497710e-01,1.4031585040e+00,2.1650676345e-01,16578,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,9.3750000000e+00,9.6729290490e-01,1.3680539632e+00,2.0038052915e-01,9825,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,9.6250000000e+00,9.6584680743e-01,1.3476538619e+00,1.9090352724e-01,5995,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,9.8750000000e+00,9.6003721572e-01,1.3152366485e+00,1.7759971639e-01,3519,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,1.0125000000e+01,9.4136381577e-01,1.2810781721e+00,1.6985717817e-01,2079,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,1.0375000000e+01,9.0901026554e-01,1.2472172918e+00,1.6910351313e-01,1283,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,1.0625000000e+01,9.0175208123e-01,1.2046265074e+00,1.5143721309e-01,761,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
