model,snapshot,redshift,selection,n_bins,log10_mass_center_min_msun,log10_mass_center_max_msun,median_sigma68_log10_c,median_sigma68_ln_c,min_sigma68_log10_c,max_sigma68_log10_c
BTKP1,0032,8.5198506050e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.8290155701e-01,4.2114639867e-01,1.7933818430e-01,1.8646492973e-01
BTKP1,0032,8.5198506050e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.7492714738e-01,4.0278464193e-01,1.7415059065e-01,1.7570370412e-01
BTKP1,0032,8.5198506050e+00,resolved_high_1e10p5_to_1e11p5,2,10.625000,10.875000,1.3249956433e-01,3.0509152165e-01,1.1019331538e-01,1.5480581328e-01
BTKP1,0040,3.4410805660e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.8704636277e-01,4.3069016661e-01,1.8617409344e-01,1.8791863210e-01
BTKP1,0040,3.4410805660e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.8392816763e-01,4.2351025697e-01,1.8316185347e-01,1.8469448179e-01
BTKP1,0040,3.4410805660e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.9180081789e-01,4.4163770410e-01,1.8091811848e-01,2.1084021720e-01
BTKP1,0048,1.0717968600e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,2.1005685772e-01,4.8367378928e-01,2.0443231190e-01,2.1568140355e-01
BTKP1,0048,1.0717968600e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.9306983568e-01,4.4455972553e-01,1.9115535410e-01,1.9498431725e-01
BTKP1,0048,1.0717968600e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.6802406462e-01,3.8688970647e-01,1.5846939912e-01,1.8785273735e-01
BTKP1,0056,0.0000000000e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,2.7119669730e-01,6.2445347247e-01,2.6242360300e-01,2.7996979160e-01
BTKP1,0056,0.0000000000e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,2.4067323263e-01,5.5417059773e-01,2.2963106280e-01,2.5171540245e-01
BTKP1,0056,0.0000000000e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.7525885585e-01,4.0354842890e-01,1.6196705095e-01,1.9093337245e-01
BTKP10,0032,8.5198506050e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.9460620951e-01,4.4809735701e-01,1.8803601224e-01,2.0117640677e-01
BTKP10,0032,8.5198506050e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.9614675796e-01,4.5164460092e-01,1.9004457954e-01,2.0224893638e-01
BTKP10,0040,3.4410805660e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.9395226134e-01,4.4659158571e-01,1.9304082267e-01,1.9486370001e-01
BTKP10,0040,3.4410805660e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.9211272779e-01,4.4235590318e-01,1.9000621228e-01,1.9421924330e-01
BTKP10,0040,3.4410805660e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.6479110421e-01,3.7944554001e-01,1.4088399348e-01,1.8320333360e-01
BTKP10,0048,1.0717968600e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.8907491197e-01,4.3536107377e-01,1.8663415224e-01,1.9151567171e-01
BTKP10,0048,1.0717968600e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.8604475236e-01,4.2838387341e-01,1.8487994172e-01,1.8720956300e-01
BTKP10,0048,1.0717968600e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.7220514750e-01,3.9651700557e-01,1.5059290077e-01,1.8131385022e-01
BTKP10,0056,0.0000000000e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,2.1619206765e-01,4.9780063219e-01,2.0920496675e-01,2.2317916855e-01
BTKP10,0056,0.0000000000e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.9412212645e-01,4.4698271458e-01,1.9114877755e-01,1.9709547535e-01
BTKP10,0056,0.0000000000e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.4556260706e-01,3.3517028910e-01,1.3264059457e-01,1.5788899393e-01
PL,0032,8.5198506050e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.9318873396e-01,4.4483349895e-01,1.9269388169e-01,1.9368358623e-01
PL,0032,8.5198506050e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.9853182612e-01,4.5713642332e-01,1.9149678788e-01,2.0556686437e-01
PL,0032,8.5198506050e+00,resolved_high_1e10p5_to_1e11p5,1,10.625000,10.625000,1.8233058832e-01,4.1983169466e-01,1.8233058832e-01,1.8233058832e-01
PL,0040,3.4410805660e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.7822731283e-01,4.1038355369e-01,1.7801871392e-01,1.7843591174e-01
PL,0040,3.4410805660e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.7953915290e-01,4.1340417708e-01,1.7732413531e-01,1.8175417049e-01
PL,0040,3.4410805660e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.6890847032e-01,3.8892612584e-01,1.5090058169e-01,1.8479863651e-01
PL,0048,1.0717968600e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.7819455734e-01,4.1030813138e-01,1.7677548344e-01,1.7961363124e-01
PL,0048,1.0717968600e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.7204063395e-01,3.9613819911e-01,1.7148248556e-01,1.7259878233e-01
PL,0048,1.0717968600e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.6844246143e-01,3.8785310072e-01,1.6463624447e-01,1.7685961747e-01
PL,0056,0.0000000000e+00,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,2.0844364630e-01,4.7995923270e-01,2.0038052915e-01,2.1650676345e-01
PL,0056,0.0000000000e+00,resolved_low_1e9p5_to_1e10,2,9.625000,9.875000,1.8425162181e-01,4.2425503775e-01,1.7759971639e-01,1.9090352724e-01
PL,0056,0.0000000000e+00,resolved_high_1e10p5_to_1e11p5,4,10.625000,11.375000,1.4575929803e-01,3.3562318682e-01,1.3513243575e-01,1.6731369669e-01
