model,snapshot,redshift,reference_model,log10_M_FOF_Msun,dn_dlog10M,poisson_err,reed07_dndlog10M_interp,sim_over_reed07,sim_over_reed07_minus_1,ratio_err,residual_err,source_file
PL,0056,-2.2204460493e-16,Reed07_FOF,8.0789859094e+00,1.2908707620e+01,3.8923341061e-02,1.1540620919e+01,1.1185453288e+00,1.1854532875e-01,3.3727250323e-03,3.3727250323e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,8.2473042801e+00,8.7532933746e+00,3.2051951127e-02,8.1443149354e+00,1.0747734394e+00,7.4773439397e-02,3.9354999630e-03,3.9354999630e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,8.4144741986e+00,6.2713822568e+00,2.7130035752e-02,5.7648307547e+00,1.0878692755e+00,8.7869275549e-02,4.7061287497e-03,4.7061287497e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,8.5814134574e+00,4.3846274863e+00,2.2684806579e-02,4.0848578735e+00,1.0733855674e+00,7.3385567407e-02,5.5533894401e-03,5.5533894401e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,8.7484688437e+00,3.1304683996e+00,1.9167849541e-02,2.8954873354e+00,1.0811542366e+00,8.1154236600e-02,6.6199044653e-03,6.6199044653e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,8.9153269523e+00,2.2055172709e+00,1.6088811414e-02,2.0543501605e+00,1.0735839066e+00,7.3583906631e-02,7.8315818420e-03,7.8315818420e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,9.0815316917e+00,1.5840712327e+00,1.3635029540e-02,1.4602260781e+00,1.0848123153e+00,8.4812315346e-02,9.3376154174e-03,9.3376154174e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,9.2476533748e+00,1.0990029653e+00,1.1357118618e-02,1.0386106506e+00,1.0581472130e+00,5.8147213029e-02,1.0934914456e-02,1.0934914456e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,9.4159486584e+00,7.7261176001e-01,9.5224650369e-03,7.3576848962e-01,1.0500745424e+00,5.0074542353e-02,1.2942202841e-02,1.2942202841e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,9.5815714526e+00,5.6475889248e-01,8.1414220400e-03,5.2429551298e-01,1.0771766656e+00,7.7176665627e-02,1.5528307678e-02,1.5528307678e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
