model,label,method,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,size0_median,particle_mass_code,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,1,100000000.0,158489319.24611133,124879451.38031058,123771486.24700186,158813,149321,0.9402315931315447,6.014805281480306,5.485430931740371,2.929806222643681,9.012609182950333,71.0,0.00018904375610873103,2.7649596267474243,2.978862218589982,3.2498456547328813,3.0359430628903237
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,2,158489319.24611133,251188643.15095794,198193591.47018892,196403392.29663336,108930,106534,0.9780042228954374,5.694407168210929,5.201780153436935,2.8413790677377477,8.47790860862866,110.0,0.00018904375610873103,2.6683149927838703,2.840724056636234,3.0260921754270584,2.8536831115746946
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,3,251188643.15095794,398107170.5534973,315038340.97791547,312306257.2140564,73221,71592,0.9777522841807678,5.310216470698019,4.862551453235021,2.683798099569517,7.850366362267629,172.0,0.00018904375610873103,2.5738383567316374,2.7069408790075196,2.7363781139663814,2.6032755916904993
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,4,398107170.5534973,630957344.4801933,499053342.0069717,494699345.85586935,49547,48468,0.9782226976406241,4.910979222416749,4.518504062675033,2.5219171748939964,7.186934629713044,269.0,0.00018904375610873103,2.482467655085171,2.5787570581999217,2.428511567331578,2.3322221642168275
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,5,630957344.4801933,999999999.9999999,789714023.7901323,782809534.0217794,33102,32408,0.9790344994260165,4.568537530470675,4.193443826682692,2.3686786905953654,6.624998174277112,422.0,0.00018904375610873103,2.393635647793201,2.455286131973776,2.1749018826774735,2.1132513984968986
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,6,999999999.9999999,1584893192.461114,1251538814.566386,1240610777.5039752,22298,21883,0.9813884653332138,4.239689002029397,3.9218204641048713,2.2448914779755538,6.1761238718015505,666.0,0.00018904375610873103,2.306790264388228,2.335692203834592,1.9328987376411693,1.9039967981948052
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,7,1584893192.461114,2511886431.5095806,1976846538.47782,1959656154.3302345,14824,14576,0.9832703723691312,3.914716937164551,3.6525919164914624,2.0676118100685805,5.643317755926223,1044.0,0.00018904375610873103,2.2227713062644887,2.2210578846369016,1.6919456309000624,1.6936590525276496
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,8,2511886431.5095806,3981071705.534973,3134580108.880008,3107171687.686516,9813,9663,0.9847141546927545,3.610597222355455,3.3678118583965424,1.9491331709716728,5.166354141559995,1653.0,0.00018904375610873103,2.1402040328595575,2.109443991765066,1.4703931894958977,1.5011532305903894
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,9,3981071705.534973,6309573444.801932,4977509226.473984,4933654683.161797,6645,6536,0.9835966892400301,3.3431726634705643,3.1246841483623227,1.8244678833302221,4.759315460159456,2612.5,0.00018904375610873103,2.059503722794732,2.0013665427384786,1.2836689406758324,1.3418061207320857
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,10,6309573444.801932,10000000000.0,7897119533.35147,7828561493.762809,4419,4350,0.9843856076035302,3.1184914355495423,2.939767760967162,1.7058796828960223,4.479928797081926,4148.0,0.00018904375610873103,1.9810226597581577,1.8972375426921935,1.1374687757913846,1.2212538928573489
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,11,10000000000.0,15848931924.611141,12532954854.191502,12422442312.479433,2851,2797,0.98105927744651,2.8849104532393217,2.7049147110072678,1.6324395843986388,4.099256810041187,6556.0,0.00018904375610873103,1.9045065157322454,1.796658061317094,0.9804039375070763,1.0882523919222278
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,12,15848931924.611141,25118864315.095818,19852418881.108395,19677090407.444836,1869,1833,0.9807383627608347,2.669313352038774,2.532295042652761,1.4752950437816752,3.7912621746867243,10402.0,0.00018904375610873103,1.8302569766592445,1.6999625061299488,0.8390563753795295,0.9693508459088251
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,13,25118864315.095818,39810717055.34974,31587816850.696053,31312188944.59493,1192,1180,0.9899328859060402,2.465228636118018,2.3790441339802655,1.4012962312077257,3.563130884811335,16561.0,0.00018904375610873103,1.757209788394467,1.605716784065697,0.708018847723551,0.8595118520523211
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,14,39810717055.34974,63095734448.01936,49832327665.30226,49389928335.269844,823,814,0.9890643985419199,2.2299897449545947,2.0988948436125523,1.2691892069611759,3.1083393302181177,25698.0,0.00018904375610873103,1.6873416718300316,1.5164068334466814,0.5426480731245631,0.7135829115079133
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,15,63095734448.01936,100000000000.0,78368557408.65219,77710623576.85112,514,505,0.9824902723735408,2.119431359563947,2.013875456404794,1.186003923071498,3.0887620753369704,40749.0,0.00018904375610873103,1.619706148765058,1.4307405662839714,0.4997252107988892,0.6886907932799757
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,16,100000000000.0,158489319246.11142,125711684954.90111,124524695229.4323,369,362,0.981029810298103,1.9437935375265547,1.8815612951316956,1.1586833032688943,2.813589758581296,65740.5,0.00018904375610873103,1.550926331689635,1.344435147292264,0.3928672058369198,0.5993583902342907
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,17,158489319246.11142,251188643150.9582,196669172264.02307,194770079610.38406,261,254,0.9731800766283525,1.7827858657659321,1.7769231089550264,1.0376173845668801,2.500907226908306,101194.0,0.00018904375610873103,1.4874560300763835,1.2655290454047008,0.2953298356895486,0.5172568203612313
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,18,251188643150.9582,398107170553.4973,310321321626.29736,307447091680.1181,149,145,0.9731543624161074,1.6074092120276433,1.5680968545909573,0.8598549073641503,2.405430771402881,161172.0,0.00018904375610873103,1.424397188717589,1.187846618423384,0.18301202331005428,0.4195625936042593
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,19,398107170553.4973,630957344480.1936,501132367727.8095,496499076908.4396,96,94,0.9791666666666666,1.4813552286645482,1.3998343880956021,0.7566480604232949,2.2387220134020596,261378.0,0.00018904375610873103,1.3598556724160993,1.1090850724711552,0.12149955624844888,0.372270156193393
BT_soft,BT(soft),sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,20,630957344480.1936,1000000000000.0,786227021828.1865,778687837727.8302,71,67,0.9436619718309859,1.4873830732624156,1.4248358593282806,0.8028362099489891,2.185183596066445,410095.0,0.00018904375610873103,1.300771108923568,1.0376568144996505,0.18661196433884752,0.44972625876276506
