model,label,method,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,size0_median,particle_mass_code,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,1,100000000.0,158489319.24611133,125172007.14156845,124070305.06386745,111004,101445,0.9138859860905914,2.593995002698213,2.318473796498984,1.2250369926823315,3.9180469406875074,71.0,0.00018904375610873103,2.7644636634161617,2.9781500367061944,-0.17046866071794886,-0.38415503400798157
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,2,158489319.24611133,251188643.15095794,198281424.16987607,196493427.46570653,77426,75575,0.9760933019915791,2.604449216004286,2.3435799207073265,1.2757188228443994,3.8912563651291627,110.0,0.00018904375610873103,2.668223488798747,2.840593878637631,-0.06377427279446124,-0.236144662633345
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,3,251188643.15095794,398107170.5534973,315161769.96350956,312422376.81157714,51822,50710,0.9785419319979931,2.531657421155839,2.288343489889102,1.277896718876908,3.7373977396130296,172.0,0.00018904375610873103,2.573759542036986,2.7068297981372953,-0.04210212088114673,-0.17517237698145616
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,4,398107170.5534973,630957344.4801933,498862037.35783833,494415690.30405426,35056,34294,0.9782633500684619,2.464231275270534,2.2350007260382965,1.2571000488355604,3.589683844009151,269.0,0.00018904375610873103,2.4825428281026314,2.578862027386426,-0.018311552832097178,-0.1146307521158918
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,5,630957344.4801933,999999999.9999999,790662522.2138416,783707316.9328346,23258,22743,0.9778570814343451,2.3797529435306486,2.1796762577866016,1.243725352089649,3.4661412578011763,422.0,0.00018904375610873103,2.3934063156029097,2.4549688600820705,-0.013653372072261138,-0.0752159165514219
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,6,999999999.9999999,1584893192.461114,1251491316.7336862,1240541573.5574093,15701,15372,0.9790459206419974,2.2782912853469988,2.1207183266883716,1.2059122045638933,3.250964365021615,665.0,0.00018904375610873103,2.306797330056125,2.3357018885251097,-0.02850604470912632,-0.057410603178110975
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,7,1584893192.461114,2511886431.5095806,1980284945.3298624,1963285969.5292907,9949,9774,0.9824102924917077,2.1954301647048653,2.0482217547572956,1.1791876769241278,3.1352563747185056,1047.0,0.00018904375610873103,2.2224560065878043,2.220629693193705,-0.027025841882938995,-0.02519952848883955
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,8,2511886431.5095806,3981071705.534973,3143388880.268575,3116001803.5052714,6848,6718,0.9810163551401869,2.1243200529982427,1.984090021445164,1.1360875556447896,3.032417874525015,1657.5,0.00018904375610873103,2.1397079452176895,2.108776533659662,-0.015387892219446808,0.01554351933858067
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,9,3981071705.534973,6309573444.801932,4965625119.390717,4922645526.046941,4496,4425,0.9842081850533808,2.0479504862815654,1.9237797183719771,1.1077174554454563,2.9025938202620836,2599.0,0.00018904375610873103,2.059915499767406,2.0019154432471815,-0.011965013485840448,0.04603504303438388
PL,PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,10,6309573444.801932,10000000000.0,7885504375.198541,7817164176.581757,3000,2951,0.9836666666666667,1.9518139265273,1.8304909512839544,1.0312924845123275,2.797305991720734,4147.0,0.00018904375610873103,1.9812696999754738,1.8975637892846535,-0.02945577344817374,0.05425013724264649
