model,target_mass_Msun,mass_tolerance_fraction,n_halos,mean_M200m_Msun,mean_R200m_kpc,mean_C200m,median_N200,softening_over_mean_R200,source_file
PL,1.0000000000e+08,0.2,129491,9.7480767237e+07,1.4288676628e+01,3.2188465498e+01,5.0000000000e+01,5.0739478461e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+09,0.2,18116,9.7572855844e+08,3.0793135218e+01,3.5345369754e+01,5.0900000000e+02,2.3544208632e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+10,0.2,2336,9.7286999879e+09,6.6279317291e+01,2.7821184150e+01,5.0645000000e+03,1.0938555641e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+11,0.2,266,9.7146336226e+10,1.4273160534e+02,1.9569805039e+01,5.0964000000e+04,5.0794636429e-03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,1.0000000000e+08,0.2,194286,9.7525096630e+07,1.4290765957e+01,1.9292935729e+02,5.0000000000e+01,5.0732060281e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,1.0000000000e+09,0.2,26433,9.7385982058e+08,3.0773934112e+01,1.6022490310e+02,5.0800000000e+02,2.3558898819e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,1.0000000000e+10,0.2,3478,9.7384385502e+09,6.6302119227e+01,8.7771498318e+01,5.0830000000e+03,1.0934793766e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,1.0000000000e+11,0.2,423,9.6871634093e+10,1.4258260000e+02,4.0193439626e+01,5.0222000000e+04,5.0847719147e-03,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,1.0000000000e+08,0.2,215616,9.7476485885e+07,1.4288480229e+01,6.4195453161e+01,5.0000000000e+01,5.0740175889e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,1.0000000000e+09,0.2,24737,9.7322740049e+08,3.0767385209e+01,5.1365673790e+01,5.0700000000e+02,2.3563913380e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,1.0000000000e+10,0.2,2523,9.7453868625e+09,6.6317125141e+01,3.1092878533e+01,5.0780000000e+03,1.0932319495e-02,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,1.0000000000e+11,0.2,279,9.7032157973e+10,1.4265968520e+02,1.9966723905e+01,5.0518000000e+04,5.0820243925e-03,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
