model,target_mass_msun,bin_index,r_over_r200m,rho_msun_kpc3_median,rho_msun_kpc3_p16_bootstrap_median,rho_msun_kpc3_p84_bootstrap_median,nhalo,n_bootstrap,power_radius_over_r200m,kappa_threshold,reference_overdensity_crit,source_cache
BT_deep,1e+08,0,0.01122018454,,,,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,1,0.01412537545,89303350.91,82132928.55,90334886.4,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,2,0.0177827941,40519688.37,36153884.11,45825643.82,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,3,0.02238721139,22166186.13,19997955.58,22967227.66,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,4,0.02818382931,9449844.106,9168713.58,10086332.97,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,5,0.03548133892,5023484.123,4806021.499,5203959.274,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,6,0.04466835922,2853279.107,2792924.501,2966123.964,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,7,0.05623413252,2390321.146,2295919.802,2663967.725,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,8,0.07079457844,1776519.26,1687917.114,1864427.989,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,9,0.08912509381,1088718.923,1024170.812,1288356.25,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,10,0.1122018454,714665.2406,704886.4906,726571.5868,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,11,0.1412537545,417594.2961,405765.9072,450867.5308,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,12,0.177827941,185660.8601,173138.2491,198175.936,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,13,0.2238721139,90741.31175,86110.3887,93081.86563,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,14,0.2818382931,35827.72036,34428.31527,40669.22739,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,15,0.3548133892,18094.93206,16800.56172,19550.02632,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,16,0.4466835922,8618.837687,8315.583563,9330.463904,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,17,0.5623413252,4263.576581,3735.141078,4670.028013,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,18,0.7079457844,2148.742112,2048.77043,2261.543964,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+08,19,0.8912509381,966.0046603,895.1871647,1071.022714,100,160,0.5260930495,0.6,63,BTdeep_M1e+08_N100_B160_all.npz
BT_deep,1e+09,0,0.01122018454,16800404.41,16083201.15,17594095.61,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,1,0.01412537545,9252145.059,8883683.678,13007848.12,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,2,0.0177827941,8502381.187,7999025.357,9167202.886,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,3,0.02238721139,8181199.431,7645173.149,8774589.18,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,4,0.02818382931,6643548.282,6535384.779,7007536.695,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,5,0.03548133892,5427083.94,5248190.705,5876920.821,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,6,0.04466835922,4367690.243,4291158.545,4511701.791,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,7,0.05623413252,2988836.972,2876088.715,3053878.9,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,8,0.07079457844,1845700.302,1801577.433,1881451.927,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+09,9,0.08912509381,999729.7956,973277.9273,1023054.996,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
