ratio,target_mass_msun,bin_index,r_over_r200m,rho_ratio_median,rho_ratio_lower_from_bootstrap_bounds,rho_ratio_upper_from_bootstrap_bounds,nhalo_bt,nhalo_pl,n_bootstrap,kappa_threshold
BT_soft/PL,10000000000,0,0.01122018454,2.367176046,2.073112134,3.14948848,100,100,160,0.6
BT_soft/PL,10000000000,1,0.01412537545,2.918252547,2.087334977,3.696676551,100,100,160,0.6
BT_soft/PL,10000000000,2,0.0177827941,2.874049399,2.227003019,3.622712198,100,100,160,0.6
BT_soft/PL,10000000000,3,0.02238721139,2.66501994,2.139244471,3.760670283,100,100,160,0.6
BT_soft/PL,10000000000,4,0.02818382931,2.032812129,1.768972912,2.51263315,100,100,160,0.6
BT_soft/PL,10000000000,5,0.03548133892,1.735727689,1.575504547,1.935595452,100,100,160,0.6
BT_soft/PL,10000000000,6,0.04466835922,1.49027909,1.431946556,1.557511038,100,100,160,0.6
BT_soft/PL,10000000000,7,0.05623413252,1.416799908,1.348357061,1.470943864,100,100,160,0.6
BT_soft/PL,10000000000,8,0.07079457844,1.297179615,1.20863044,1.335505176,100,100,160,0.6
BT_soft/PL,10000000000,9,0.08912509381,1.231202252,1.209768792,1.276914701,100,100,160,0.6
BT_soft/PL,10000000000,10,0.1122018454,1.178197261,1.129049525,1.231607427,100,100,160,0.6
BT_soft/PL,10000000000,11,0.1412537545,1.10737925,1.070168341,1.127409921,100,100,160,0.6
BT_soft/PL,10000000000,12,0.177827941,1.004560502,0.9732854592,1.035316544,100,100,160,0.6
BT_soft/PL,10000000000,13,0.2238721139,0.946097161,0.9145354847,0.967121973,100,100,160,0.6
BT_soft/PL,10000000000,14,0.2818382931,0.906658773,0.8744674659,0.9337547258,100,100,160,0.6
BT_soft/PL,10000000000,15,0.3548133892,0.8507007278,0.8234081198,0.8653591887,100,100,160,0.6
BT_soft/PL,10000000000,16,0.4466835922,0.787262009,0.7550258054,0.812034693,100,100,160,0.6
BT_soft/PL,10000000000,17,0.5623413252,0.7593428603,0.7237490189,0.7953702206,100,100,160,0.6
BT_soft/PL,10000000000,18,0.7079457844,0.6854125988,0.6451756698,0.7509338291,100,100,160,0.6
BT_soft/PL,10000000000,19,0.8912509381,0.7276241045,0.6452376758,0.7852769325,100,100,160,0.6
BT_soft/PL,31622776601.6838,0,0.01122018454,2.236645569,1.801209633,2.839988235,100,100,160,0.6
BT_soft/PL,31622776601.6838,1,0.01412537545,2.243122924,1.926586886,2.908362061,100,100,160,0.6
BT_soft/PL,31622776601.6838,2,0.0177827941,2.086900807,1.763256519,2.293823156,100,100,160,0.6
BT_soft/PL,31622776601.6838,3,0.02238721139,1.92834132,1.697140463,2.052134075,100,100,160,0.6
BT_soft/PL,31622776601.6838,4,0.02818382931,1.673074639,1.566368721,1.841335539,100,100,160,0.6
BT_soft/PL,31622776601.6838,5,0.03548133892,1.623386445,1.553406591,1.714806791,100,100,160,0.6
BT_soft/PL,31622776601.6838,6,0.04466835922,1.503514539,1.447357797,1.573946425,100,100,160,0.6
BT_soft/PL,31622776601.6838,7,0.05623413252,1.398274771,1.315643338,1.477918057,100,100,160,0.6
