model,snapshot,redshift,M_200c_Msun,log10_M_200c_Msun,dn_dlog10M,poisson_err,n_kept,n_total,source_file
BT_deep,0024,19.40664523,1.6788040181e+08,8.2250000000e+00,3.1148845210e-03,4.2001094313e-04,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0024,19.40664523,2.3713737057e+08,8.3750000000e+00,1.2233001028e-02,8.3235029281e-04,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0024,19.40664523,3.3496543916e+08,8.5250000000e+00,3.5679586331e-03,4.4952053483e-04,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0024,19.40664523,4.7315125896e+08,8.6750000000e+00,1.5291251285e-03,2.9428026818e-04,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0024,19.40664523,6.6834391757e+08,8.8250000000e+00,5.6634264018e-04,1.7909326790e-04,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0024,19.40664523,9.4406087629e+08,8.9750000000e+00,5.6634264018e-05,5.6634264018e-05,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0024,19.40664523,1.3335214322e+09,9.1250000000e+00,5.6634264018e-05,5.6634264018e-05,373,49086,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0024_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,1.6788040181e+08,8.2250000000e+00,6.7394774181e-02,1.9536769012e-03,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,2.3713737057e+08,8.3750000000e+00,3.1290430870e-01,4.2096443117e-03,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,3.3496543916e+08,8.5250000000e+00,1.4690928086e-01,2.8844581812e-03,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,4.7315125896e+08,8.6750000000e+00,6.9490241950e-02,1.9838167025e-03,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,6.6834391757e+08,8.8250000000e+00,3.4830072371e-02,1.4044840741e-03,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,9.4406087629e+08,8.9750000000e+00,1.7046913469e-02,9.8256775752e-04,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,1.3335214322e+09,9.1250000000e+00,6.2297690420e-03,5.9398517212e-04,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,1.8836490895e+09,9.2750000000e+00,2.4919076168e-03,3.7566920805e-04,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,2.6607250598e+09,9.4250000000e+00,1.0760510163e-03,2.4686303360e-04,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,3.7583740429e+09,9.5750000000e+00,3.3980558411e-04,1.3872504880e-04,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,5.3088444423e+09,9.7250000000e+00,1.6990279205e-04,9.8093422728e-05,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,7.4989420933e+09,9.8750000000e+00,5.6634264018e-05,5.6634264018e-05,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0027,14.3318146,1.0592537252e+10,1.0025000000e+01,5.6634264018e-05,5.6634264018e-05,11636,387469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0027_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,1.6788040181e+08,8.2250000000e+00,3.2932824526e-01,4.3187107788e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,2.3713737057e+08,8.3750000000e+00,1.5903467679e+00,9.4904224739e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,3.3496543916e+08,8.5250000000e+00,9.3910936594e-01,7.2928573120e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,4.7315125896e+08,8.6750000000e+00,5.4363230031e-01,5.5487129340e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,6.6834391757e+08,8.8250000000e+00,3.1596255896e-01,4.2301663069e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,9.4406087629e+08,8.9750000000e+00,1.7375392201e-01,3.1369452487e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,1.3335214322e+09,9.1250000000e+00,9.2653655933e-02,2.2907142145e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,1.8836490895e+09,9.2750000000e+00,4.9385078224e-02,1.6723897747e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,2.6607250598e+09,9.4250000000e+00,2.7297715257e-02,1.2433768588e-03,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,3.7583740429e+09,9.5750000000e+00,1.3875394684e-02,8.8646644940e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,5.3088444423e+09,9.7250000000e+00,6.5129403621e-03,6.0733482034e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,7.4989420933e+09,9.8750000000e+00,3.4546901051e-03,4.4232774219e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,1.0592537252e+10,1.0025000000e+01,1.3025880724e-03,2.7160838868e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,1.4962356561e+10,1.0175000000e+01,6.7961116821e-04,1.9618684546e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,2.1134890398e+10,1.0325000000e+01,2.8317132009e-04,1.2663806420e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,4.2169650343e+10,1.0625000000e+01,2.2653705607e-04,1.1326852804e-04,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0030,10.51901923,5.9566214353e+10,1.0775000000e+01,5.6634264018e-05,5.6634264018e-05,72180,1142676,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0030_m200c_bocquet16_input.npz
BT_deep,0032,8.519850605,1.6788040181e+08,8.2250000000e+00,5.6906108485e-01,5.6770023535e-03,144081,1694246,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0032_m200c_bocquet16_input.npz
BT_deep,0032,8.519850605,2.3713737057e+08,8.3750000000e+00,2.8772471492e+00,1.2765217377e-02,144081,1694246,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0032_m200c_bocquet16_input.npz
BT_deep,0032,8.519850605,3.3496543916e+08,8.5250000000e+00,1.8304194131e+00,1.0181574353e-02,144081,1694246,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/m200c_bocquet16_lowhigh_cache/BT_deep_snap0032_m200c_bocquet16_input.npz
