model,model_label,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,z_min,z_max,n_snapshot_pairs,total_halo_pairs,median_rate_over_correa,median_negative_fraction,median_multiple_progenitor_fraction,median_same_track_main_progenitor_fraction
BT_deep,BT kp=10,100000000.0,316000000.0,177763888.34631178,-2.220446049250313e-16,17.551495663828796,32,2285633,0.20106536144733467,0.28779028112524097,0.0,1.0
BT_deep,BT kp=10,316000000.0,1000000000.0,562138772.9022079,-2.220446049250313e-16,19.40664523021168,33,3086840,0.34355671812905203,0.1705174852735219,0.0,1.0
BT_deep,BT kp=10,1000000000.0,3160000000.0,1777638883.4631178,-2.220446049250313e-16,15.864996058026179,31,907166,0.39721933854779984,0.15127778547992052,0.0,1.0
BT_deep,BT kp=10,3160000000.0,10000000000.0,5621387729.0220785,-2.220446049250313e-16,11.670921155541825,28,261754,0.45870974625980776,0.14912817463098105,0.0,1.0
BT_deep,BT kp=10,10000000000.0,31600000000.0,17776388834.631176,-2.220446049250313e-16,9.471835665737043,26,77815,0.5241147849199795,0.14415404500924628,0.0,1.0
BT_deep,BT kp=10,31600000000.0,100000000000.0,56213877290.22079,-2.220446049250313e-16,7.654409641104996,24,24364,0.5817914506834296,0.12998877893852695,0.0,1.0
BT_deep,BT kp=10,100000000000.0,316000000000.0,177763888346.31177,-2.220446049250313e-16,5.502186056427491,21,7824,0.6399801462105505,0.1452991452991453,0.0,1.0
BT_deep,BT kp=10,316000000000.0,1000000000000.0,562138772902.2078,-2.220446049250313e-16,3.885188622409834,18,2492,0.6356647584450669,0.1612831097351221,0.0,1.0
BT_soft,BT kp=1,100000000.0,316000000.0,177763888.34631178,-2.220446049250313e-16,28.87736928155293,37,3476547,0.1137941965149198,0.27883535469834925,0.0,1.0
BT_soft,BT kp=1,316000000.0,1000000000.0,562138772.9022079,-2.220446049250313e-16,31.86510620970823,38,4773708,0.1949360066133874,0.17770933669577127,0.0,1.0
BT_soft,BT kp=1,1000000000.0,3160000000.0,1777638883.4631178,-2.220446049250313e-16,23.692040728556133,35,1542504,0.22922186669579514,0.1598239178283199,0.0,1.0
BT_soft,BT kp=1,3160000000.0,10000000000.0,5621387729.0220785,-2.220446049250313e-16,17.551495663828796,32,484996,0.27236624748989546,0.15179213030529487,0.0,1.0
BT_soft,BT kp=1,10000000000.0,31600000000.0,17776388834.631176,-2.220446049250313e-16,14.331814598205613,30,148488,0.3234791078394599,0.15457627118644068,0.0,1.0
BT_soft,BT kp=1,31600000000.0,100000000000.0,56213877290.22079,-2.220446049250313e-16,9.471835665737043,26,45149,0.38134978030114697,0.15087304973716698,0.0,1.0
BT_soft,BT kp=1,100000000000.0,316000000000.0,177763888346.31177,-2.220446049250313e-16,6.867645128277267,23,13359,0.46936630983128896,0.15527950310559005,0.0,1.0
BT_soft,BT kp=1,316000000000.0,1000000000000.0,562138772902.2078,-2.220446049250313e-16,4.373707484650818,19,3776,0.5164099011301584,0.171875,0.0,1.0
PL,PL,100000000.0,316000000.0,177763888.34631178,-2.220446049250313e-16,14.331814598205613,30,1286191,0.2654103241426042,0.26780100630028864,0.0,1.0
PL,PL,316000000.0,1000000000.0,562138772.9022079,-2.220446049250313e-16,17.551495663828796,32,2013836,0.4225234801465466,0.1407393186474013,0.0,1.0
PL,PL,1000000000.0,3160000000.0,1777638883.4631178,-2.220446049250313e-16,14.331814598205613,30,692104,0.44952053682621046,0.12858428291020277,0.0,1.0
PL,PL,3160000000.0,10000000000.0,5621387729.0220785,-2.220446049250313e-16,11.670921155541825,28,230189,0.4835826352364344,0.12247946722104755,0.0,1.0
PL,PL,10000000000.0,31600000000.0,17776388834.631176,-2.220446049250313e-16,9.471835665737043,26,75535,0.5267155581255617,0.1285942021032065,0.0,1.0
PL,PL,31600000000.0,100000000000.0,56213877290.22079,-2.220446049250313e-16,7.654409641104996,24,24379,0.5695573896980118,0.12994928759560603,0.0,1.0
PL,PL,100000000000.0,316000000000.0,177763888346.31177,-2.220446049250313e-16,5.502186056427491,21,7851,0.6381551362155565,0.14377682403433475,0.0,1.0
PL,PL,316000000000.0,1000000000000.0,562138772902.2078,-2.220446049250313e-16,3.4410805658271224,17,2430,0.6513193210510524,0.17575757575757575,0.0,1.0
