model,model_label,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,z_min,z_max,n_snapshot_pairs,total_halo_pairs,median_mean_over_correa,median_negative_fraction
BT_deep,BT kp=10,100000000.0,316000000.0,177763888.34631178,0.03157968903345931,20.426977491722266,33,2873216,0.4411880819076928,0.245121107266436
BT_deep,BT kp=10,316000000.0,1000000000.0,562138772.9022079,0.03157968903345931,18.479070447020238,32,2814086,0.4874147942405536,0.21733851065164897
BT_deep,BT kp=10,1000000000.0,3160000000.0,1777638883.4631178,0.03157968903345931,15.098405328115895,30,806655,0.5698595572478732,0.19832439934915727
BT_deep,BT kp=10,3160000000.0,10000000000.0,5621387729.0220785,0.03157968903345931,11.094970193926287,27,231604,0.6641891793063058,0.19514073060142015
BT_deep,BT kp=10,10000000000.0,31600000000.0,17776388834.631176,0.03157968903345931,8.995843135476267,25,68720,0.7536618701900152,0.1874829931972789
BT_deep,BT kp=10,31600000000.0,100000000000.0,56213877290.22079,0.03157968903345931,7.261027384691131,23,21472,0.8707922856885644,0.16466826538768986
BT_deep,BT kp=10,100000000000.0,316000000000.0,177763888346.31177,0.03157968903345931,5.206632144771696,20,6876,0.9116287704911525,0.18313526292249696
BT_deep,BT kp=10,316000000000.0,1000000000000.0,562138772902.2078,0.03157968903345931,3.2392132673804346,16,2147,1.0858783089793191,0.20462269083304285
BT_soft,BT kp=1,100000000.0,316000000.0,177763888.34631178,0.03157968903345931,33.508361520193645,38,4262963,0.23855722458706816,0.24660079769152693
BT_soft,BT kp=1,316000000.0,1000000000.0,562138772.9022079,0.03157968903345931,30.37123774563058,37,4409078,0.2745109713067996,0.21176049452633716
BT_soft,BT kp=1,1000000000.0,3160000000.0,1777638883.4631178,0.03157968903345931,22.56967524089449,34,1401525,0.3251182444610489,0.1895933380911413
BT_soft,BT kp=1,3160000000.0,10000000000.0,5621387729.0220785,0.03157968903345931,16.708245860927487,31,439301,0.385695223604124,0.17963025862487264
BT_soft,BT kp=1,10000000000.0,31600000000.0,17776388834.631176,0.03157968903345931,13.634913934650811,29,134015,0.47539347883813093,0.1817636472705459
BT_soft,BT kp=1,31600000000.0,100000000000.0,56213877290.22079,0.03157968903345931,9.995427449023897,26,40597,0.5691811763161927,0.17840737867225087
BT_soft,BT kp=1,100000000000.0,316000000000.0,177763888346.31177,0.03157968903345931,6.510024895173754,22,11934,0.7055250552949046,0.18664756121322335
BT_soft,BT kp=1,316000000000.0,1000000000000.0,562138772902.2078,0.03157968903345931,4.129448053530326,18,3342,0.8020784124008324,0.22599531615925056
PL,PL,100000000.0,316000000.0,177763888.34631178,0.03157968903345931,16.708245860927487,31,1686074,0.5577121655381616,0.22176407314449623
PL,PL,316000000.0,1000000000.0,562138772.9022079,0.03157968903345931,16.708245860927487,31,1829421,0.6070319145438798,0.18426162015485742
PL,PL,1000000000.0,3160000000.0,1777638883.4631178,0.03157968903345931,13.634913934650811,29,613003,0.6392540320052781,0.16950913050762273
PL,PL,3160000000.0,10000000000.0,5621387729.0220785,0.03157968903345931,11.094970193926287,27,203634,0.705655497482729,0.15778210116731517
PL,PL,10000000000.0,31600000000.0,17776388834.631176,0.03157968903345931,8.995843135476267,25,66736,0.7595977284917931,0.16311659192825112
PL,PL,31600000000.0,100000000000.0,56213877290.22079,0.03157968903345931,7.261027384691131,23,21497,0.8741699546389439,0.15879478827361562
PL,PL,100000000000.0,316000000000.0,177763888346.31177,0.03157968903345931,5.206632144771696,20,6893,0.9156419128780493,0.16294745497725194
PL,PL,316000000000.0,1000000000000.0,562138772902.2078,0.03157968903345931,3.2392132673804346,16,2140,1.113493744332733,0.20880552568450658
