method,mass_bin,mass_bin_left_msun,mass_bin_right_msun,snap_left,snap_right,z_mid,a_mid,PL_M0_mean_msun,PL_n_halos,PL_Gamma_median,PL_Gamma_q16,PL_Gamma_q84,BT_soft_M0_mean_msun,BT_soft_n_halos,BT_soft_Gamma_median,BT_soft_Gamma_q16,BT_soft_Gamma_q84,BT_deep_M0_mean_msun,BT_deep_n_halos,BT_deep_Gamma_median,BT_deep_Gamma_q16,BT_deep_Gamma_q84,BT_soft_minus_PL_Gamma_median,BT_deep_minus_PL_Gamma_median,BT_soft_over_PL_Gamma_median,BT_deep_over_PL_Gamma_median
cumulative_envelope,5,630957344.4801933,1000000000.0,21,22,24.89723079548743,0.0386141672017785,,,,,,808808550.4104376,2933,2.180202811388785,0.5433404434204234,4.741828899330975,,,,,,,,,
cumulative_envelope,5,630957344.4801933,1000000000.0,22,23,22.54293708680676,0.0424755839219564,,,,,,803584419.495098,5706,2.142818496361874,0.4725039978618868,4.694847811509959,,,,,,,,,
cumulative_envelope,5,630957344.4801933,1000000000.0,23,24,20.402670078915232,0.046723142314152,,,,,,802443107.8781866,9483,2.09552363403946,0.4178894843380884,4.603199209887034,828430832.7573364,21.0,2.480133099906607,1.1773589568523937,3.976201545055544,,,,
cumulative_envelope,5,630957344.4801933,1000000000.0,24,25,18.45697279901384,0.0513954565455672,,,,,,799927667.8986557,13949,1.9704569379118893,0.3502418112671625,4.543034903921038,833752034.4053695,142.0,2.480133099906607,0.9086414112214584,4.483394545329356,,,,
cumulative_envelope,5,630957344.4801933,1000000000.0,25,26,16.68815709001258,0.0565350022001239,,,,,,797145888.2365478,18522,1.9511830668584649,0.3392406202093208,4.533061317386214,811986098.8045726,515.0,2.634171265285294,1.0263230134241916,5.3284969776440265,,,,
cumulative_envelope,5,630957344.4801933,1000000000.0,26,27,15.080142809102345,0.0621885024201363,840560240.2756835,31.0,3.6548770982968346,0.8818636601074934,6.21532026628755,795070548.9509166,22663,1.7548744099349565,0.0813489904338017,4.34164490164914,811015566.3839198,1408.0,2.4701568969932706,0.7222499792046861,4.859470653251445,-1.9000026883618781,-1.184720201303564,0.48014594273299216,0.6758522463434841
cumulative_envelope,5,630957344.4801933,1000000000.0,27,28,13.618311644638496,0.06840735266215,833972274.7097408,158.0,3.36646116653222,1.3599464532208552,6.449722221444864,793576488.7632936,25997,1.6475596821947478,0.0,4.20718702540297,808024636.6618422,3275.0,2.455156518167274,0.6462356913509473,5.00561264130748,-1.7189014843374724,-0.9113046483649461,0.4894040360762258,0.7292989274836407
cumulative_envelope,5,630957344.4801933,1000000000.0,28,29,12.289374222398628,0.075248087928365,825024048.0377526,526.0,3.2310132030139327,1.127507520788794,6.099746970358809,792602290.8334081,28504,1.510909781278105,0.0,4.096883034543748,804434708.1626049,6278.0,2.4058983109479097,0.5433404434204234,4.934922013062612,-1.7201034217358278,-0.825114892066023,0.4676272383748565,0.7446265798925412
cumulative_envelope,5,630957344.4801933,1000000000.0,29,30,11.08124929308966,0.0827728967212015,816690027.0279475,1378.0,3.092027643324373,1.135596798596592,6.20079731692262,791583320.4748104,30271,1.4616971903373392,0.0,4.026897235539583,800896169.8655962,10350.0,2.3108667318020526,0.5175044563839727,4.9521949692244265,-1.630330452987034,-0.7811609115223206,0.47273095811194144,0.7473628952804379
cumulative_envelope,5,630957344.4801933,1000000000.0,30,31,9.98295390280878,0.0910501863933217,810905303.3003947,3016.0,3.023041168440814,0.93107129052853,5.982926883576722,790842117.2050184,31376,1.249009092281784,0.0,3.6043642553363897,798050517.5163064,14984.0,2.2193234163134283,0.466696422399022,4.975130117324285,-1.7740320761590298,-0.8037177521273855,0.4131631104865113,0.734136021527647
cumulative_envelope,5,630957344.4801933,1000000000.0,31,32,8.984503548007982,0.1001552050326539,806759486.9022765,5494.0,2.845514127033721,0.9040228552631738,5.623682384014486,790326224.4629059,31991,1.1038868286794885,0.0,3.358833942903103,795015793.4001876,19541.0,2.0601032051916537,0.374513997039452,4.817011774168035,-1.7416272983542325,-0.7854109218420673,0.3879393246345344,0.7239827719074403
cumulative_envelope,5,630957344.4801933,1000000000.0,32,33,8.076821407279985,0.1101707255359193,802518650.8426148,8645.0,2.729813023921991,0.7904322986312354,5.601054809800218,790109485.047284,32372,0.9838187401692412,0.0,3.1239219208709903,793205455.7420924,23395.0,1.9488923396275464,0.3099989253929427,4.678559971238138,-1.7459942837527498,-0.7809206842944447,0.3603978483316649,0.7139288744499884
cumulative_envelope,5,630957344.4801933,1000000000.0,33,34,7.251655824799986,0.1211877980895112,799520341.6504537,12144.0,2.599204911556107,0.6681442094538217,5.554553528643092,789851916.7795994,32603,1.027772267100003,0.0,3.083098112140964,791247579.4519982,26489.0,1.866914509585733,0.2684708376886578,4.601174583413419,-1.571432644456104,-0.732290401970374,0.3954179458997291,0.7182636895172831
cumulative_envelope,5,630957344.4801933,1000000000.0,34,35,6.501505295272713,0.1333065778984624,797627487.1208603,15397.0,2.3880026820554137,0.5633696385430875,5.252133819705336,789765920.9991125,32677,0.7936770965111782,0.0,2.6024548383739066,790051868.2267838,28658.0,1.6475596821947518,0.0705123384419024,4.328229892972353,-1.5943255855442353,-0.7404429998606619,0.33236021989223247,0.6899320903511951
cumulative_envelope,5,630957344.4801933,1000000000.0,35,36,5.819550268429738,0.1466372356883086,795318554.0380102,18039.0,2.1662925995759386,0.4236709964942182,4.963777539880852,789701183.4976217,32739,0.854991197225362,0.0,2.546422764073073,789145281.1682578,30024.0,1.4678375726326285,0.0,4.011403210316236,-1.3113014023505767,-0.6984550269433101,0.3946794617646436,0.6775804768570802
cumulative_envelope,5,630957344.4801933,1000000000.0,36,37,5.199591153117943,0.1613009592571395,793835937.0564576,20009.0,1.929170986758512,0.252359100177029,4.575016797463376,789626347.0000092,32745,0.6428877292991696,0.0,2.2191553348701327,788474793.5909015,30836.0,1.2988550536925303,0.0,3.713769574608402,-1.2862832574593424,-0.6303159330659818,0.33324559290588396,0.6732710903323973
cumulative_envelope,5,630957344.4801933,1000000000.0,37,38,4.635991957379948,0.1774310551828535,792552810.1411526,21285.0,1.814416336444526,0.2638837453821169,4.464395494968743,789666272.3382403,32750,0.707158214223769,0.0,2.1819520160620978,788200959.7818043,31277.0,1.2865724823138955,0.0,3.682515695010141,-1.107258122220757,-0.5278438541306305,0.38974418385666343,0.7090833875730104
cumulative_envelope,5,630957344.4801933,1000000000.0,38,39,4.123629052163588,0.1951741607011388,791789648.608967,22106.0,1.5777248630898335,0.0,3.9801659467021153,789749164.221225,32731,0.5287808431510838,0.0,1.8321082466243157,788031242.3303615,31512.0,1.0705705253207989,0.0,3.1975700423558275,-1.0489440199387499,-0.5071543377690346,0.33515402813359585,0.6785533716089014
cumulative_envelope,5,630957344.4801933,1000000000.0,39,40,3.657844592875989,0.2146915767712527,791271744.6504452,22509.0,1.3567140581618595,0.0,3.5615293088292383,789805060.7623773,32686,0.440120898001926,0.0,1.6646216837748904,787867333.4526222,31628.0,0.9218476707040718,0.0,2.9413673522402486,-0.9165931601599335,-0.4348663874577877,0.32440210621700394,0.6794708620864699
cumulative_envelope,5,630957344.4801933,1000000000.0,40,41,3.234404175341808,0.236160734448378,790886503.0730594,22724.0,1.17899485540174,0.0,3.222315654261616,789782230.5713383,32627,0.360941077945516,0.0,1.4389489320658797,787844005.3667452,31616.0,0.7785532588054357,0.0,2.6051784899162977,-0.818053777456224,-0.4004415965963043,0.3061430474372393,0.6603533978442555
cumulative_envelope,5,630957344.4801933,1000000000.0,41,42,2.849458341219825,0.2597768078932159,790749171.638189,22789.0,1.1675651078011426,0.0,3.0799155556114486,789742094.1895852,32502,0.5147183558440038,0.0,1.5351575603053136,787822609.5496697,31544.0,0.8546376083822858,0.0,2.5998165129849835,-0.6528467519571388,-0.3129274994188569,0.44084766871233844,0.7319828270577661
cumulative_envelope,5,630957344.4801933,1000000000.0,42,43,2.4995075829271136,0.2857544886825375,790531122.5205846,22785.0,0.9280898705884691,0.0,2.619699237389655,789731270.8404543,32361,0.3619134686158216,0.0,1.2838113577975,787814302.5373981,31499.0,0.6537359237633549,0.0,2.1789237858662145,-0.5661764019726476,-0.27435394682511427,0.38995519731978645,0.704388599079143
cumulative_envelope,5,630957344.4801933,1000000000.0,43,44,2.1813705299337403,0.3143299375507912,790489966.437397,22709.0,0.7937616535252492,0.0,2.329555556564641,789770733.8764316,32193,0.2911801216640446,0.0,1.171194994353603,787739282.9561766,31397.0,0.5283526875833989,0.0,1.9331734296726069,-0.5025815318612046,-0.26540896594185026,0.36683571242180485,0.6656314086689403
cumulative_envelope,5,630957344.4801933,1000000000.0,44,45,1.8921550272124896,0.3457629313058704,790449152.7803322,22635.0,0.6813607425877704,0.0,2.063394570608209,789890335.7457111,31959,0.2403845046073973,0.0,1.044760983305718,787673942.009728,31239.0,0.4578930967300252,0.0,1.730196776284924,-0.44097623798037305,-0.22346764585774515,0.3528006378741902,0.6720274123674526
cumulative_envelope,5,630957344.4801933,1000000000.0,45,46,1.6292318429204444,0.3803392244364576,790556986.1301484,22503.0,0.7577538492768824,0.0,2.057252647126928,789892538.707497,31722,0.3791678134240283,0.0,1.1115586510310953,787703059.0555979,31072.0,0.5890851383334832,0.0,1.786284057387708,-0.3785860358528541,-0.1686687109433992,0.5003838829533689,0.7774096283319997
