model,label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snapshot,redshift,scale_factor,n_halos,M_over_M0_median,M_over_M0_q16,M_over_M0_q84,M_over_M0_mean,particle_mass_code,particle_mass_msun
PL,PL,12,15848931924.611141,25118864315.095818,20655034885.87851,20470832355.39745,24,19.40664523021168,0.04900364507339587,32,0.0019505364833317747,0.0015304914221593807,0.0031160468303950677,0.0022732788861695857,0.00018904375610873103,1890437.5610873103
PL,PL,13,25118864315.095818,39810717055.34974,32865377359.36044,32529305932.053856,24,19.40664523021168,0.04900364507339587,27,0.0012808089956831334,0.001045707132862883,0.0023370233661794606,0.0018954554040060427,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,50507514600.9986,50050877084.44727,24,19.40664523021168,0.04900364507339587,33,0.0009980297935877314,0.0007073487964790138,0.0016292826029774721,0.0013045373796693113,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,78496723667.52846,77748306832.12619,24,19.40664523021168,0.04900364507339587,38,0.0006440699341648609,0.0004685799657168199,0.0010373022132250987,0.0007376951123386862,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,127915993887.45645,127246471269.93217,24,19.40664523021168,0.04900364507339587,31,0.0003679966839988014,0.0002832852165392025,0.0006713891292118868,0.0005027641480113034,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,200495850139.70724,199006176582.14417,24,19.40664523021168,0.04900364507339587,28,0.0003080679560377139,0.00022637104517191255,0.0005982869601988087,0.0004137678069462562,0.00018904375610873103,1890437.5610873103
PL,PL,18,251188643150.9582,398107170553.4973,311573729297.1076,309239097866.03,24,19.40664523021168,0.04900364507339587,28,0.00018694625923304368,0.00011968139306233308,0.00040432414647138283,0.00024415458757721557,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,492866777799.1323,489539784417.75446,24,19.40664523021168,0.04900364507339587,23,0.00014038314741520117,7.478478014231938e-05,0.000311601465185164,0.00020503709806977906,0.00018904375610873103,1890437.5610873103
PL,PL,8,2511886431.5095806,3981071705.534973,3215684050.538268,3192498331.658058,25,17.551495663828796,0.053904009580735476,38,0.012290710997341442,0.010341934729891856,0.019304259456727736,0.014991912332795839,0.00018904375610873103,1890437.5610873103
PL,PL,9,3981071705.534973,6309573444.801932,5074166373.871848,5030146811.45207,25,17.551495663828796,0.053904009580735476,47,0.008484095583625352,0.006591260959773565,0.013465673805459322,0.010469823698348478,0.00018904375610873103,1890437.5610873103
PL,PL,10,6309573444.801932,10000000000.0,8146934661.062012,8081532060.751237,25,17.551495663828796,0.053904009580735476,64,0.005468787889086434,0.004296708409286843,0.008506770883458468,0.0064080843875750654,0.00018904375610873103,1890437.5610873103
PL,PL,11,10000000000.0,15848931924.611141,12455566697.398994,12338748826.051924,25,17.551495663828796,0.053904009580735476,69,0.0037049425352956,0.0026807733619896045,0.005286117636487798,0.004614799325830471,0.00018904375610873103,1890437.5610873103
PL,PL,12,15848931924.611141,25118864315.095818,20463905112.011127,20292918200.037716,25,17.551495663828796,0.053904009580735476,98,0.0024259917680288763,0.0017438855515083814,0.004493600034219116,0.003107712690305015,0.00018904375610873103,1890437.5610873103
PL,PL,13,25118864315.095818,39810717055.34974,31795754499.58616,31504210270.95692,25,17.551495663828796,0.053904009580735476,100,0.0014631517982444503,0.001131217215704548,0.0028844065308284176,0.002055071794132076,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,49659849310.878586,49264281284.59623,25,17.551495663828796,0.053904009580735476,95,0.0010642325600505862,0.0007599896211139981,0.0018216014553491678,0.0015338847166779896,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,79735270913.8939,79076714214.28558,25,17.551495663828796,0.053904009580735476,72,0.0008239952883619916,0.0005103625686763682,0.0018230943278868582,0.0010646804073849675,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,127793196793.9079,126820407785.706,25,17.551495663828796,0.053904009580735476,75,0.000438536232869774,0.00029552885850274137,0.00085011447541728,0.000601205949184878,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,197022093110.333,195468816719.33075,25,17.551495663828796,0.053904009580735476,58,0.00042230399407840505,0.00019774182830694403,0.0009065141341091242,0.0005631071136499622,0.00018904375610873103,1890437.5610873103
PL,PL,18,251188643150.9582,398107170553.4973,305973160960.85565,303413170012.4165,25,17.551495663828796,0.053904009580735476,49,0.0003104312076915217,0.000126863533385365,0.0006308525093251808,0.0004114401346650564,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,504097249549.0368,500980274475.4809,25,17.551495663828796,0.053904009580735476,42,0.00017137339421488513,9.227984097809028e-05,0.000408970991158271,0.0002929938242490252,0.00018904375610873103,1890437.5610873103
