model,M0_msun,z,M_over_M0,M_msun,alpha,beta,f_M0,a_article
Correa2015a_article_formula_project_pl,293639000.9489291,0.0,1.0,293639000.9489291,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.02,0.9936905348591679,291786295.90845305,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.04,0.9873714304127671,289930760.39192,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.06,0.9810452506641396,288073147.2907097,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.08,0.9747144039037966,286214163.77284175,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.1,0.9683811534937076,284354474.4496638,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.12,0.9620476277327741,282494704.272739,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.14,0.9557158288970705,280635441.18841344,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.16,0.9493876415374,278777238.57430214,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.18,0.9430648401071463,276920617.47912395,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.2,0.9367490959851014,275066068.68487763,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
Correa2015a_article_formula_project_pl,293639000.9489291,0.22,0.9304419839506951,273214054.6082216,0.13023266049414392,-0.44542013885059467,0.44542013885059467,0.2923816171181862
