model,target_M0_msun,selection_width_dex,z,n_halos,n_positive_mass,median_M0_Msun,median_M_main_over_M0,p16_M_main_over_M0,p84_M_main_over_M0,median_M_msun,p16_M_msun,p84_M_msun
PL_new_SOAP_direct_raw,300000000.0,0.1,0.0,54183,54183,293639000.9489291,1.0,1.0,1.0,293639000.9489291,254718224.02504882,347480023.6177631
PL_new_SOAP_direct_raw,300000000.0,0.1,0.06315937806691885,54183,51197,293639000.9489291,0.9825756040705443,0.9228651435018229,1.0366205378343896,288075054.13772845,245461420.01290512,345621896.58083546
PL_new_SOAP_direct_raw,300000000.0,0.1,0.16947531587361064,54183,49662,293639000.9489291,0.9540713000180551,0.8649802406256845,1.029084739750029,278804527.1936411,234358971.73932955,338190413.601229
PL_new_SOAP_direct_raw,300000000.0,0.1,0.2864228474609716,54183,49763,293639000.9489291,0.9222923280905624,0.8021413187954289,1.01908106232099,269537533.437184,219566233.8347936,330760613.3493109
PL_new_SOAP_direct_raw,300000000.0,0.1,0.4150651322070684,54183,50404,293639000.9489291,0.8905849046828186,0.7414479049994611,1.0074852428895098,260274299.6548035,206633329.30544737,325189367.36211973
PL_new_SOAP_direct_raw,300000000.0,0.1,0.5565716454277756,54183,51047,293639000.9489291,0.8574307035955199,0.685940837590549,1.0,251014999.1590708,193711500.87729838,319619163.043153
PL_new_SOAP_direct_raw,300000000.0,0.1,0.7122288099705543,54183,51561,293639000.9489291,0.8205046933361941,0.6322481257200824,0.9840764587746585,241759895.60436442,178958761.80905715,310337799.89044666
PL_new_SOAP_direct_raw,300000000.0,0.1,0.8834516909676096,54183,51867,293639000.9489291,0.780590104282658,0.5791339421060191,0.9620230003066084,228810235.94973004,166064872.3285408,302914866.895058
PL_new_SOAP_direct_raw,300000000.0,0.1,1.0717968600643704,54183,52160,293639000.9489291,0.7371703531336072,0.5233145425161826,0.9372471361761869,215870036.17319438,151348095.58880597,293639000.9489291
PL_new_SOAP_direct_raw,300000000.0,0.1,1.2789765460708074,54183,52441,293639000.9489291,0.6900074095575077,0.46899640605314147,0.9068843322507356,202940205.80365622,136654719.28922272,280658354.35199016
PL_new_SOAP_direct_raw,300000000.0,0.1,1.506874200677888,54183,52602,293639000.9489291,0.6405527920882587,0.4164319045522652,0.8680412863239402,188177253.53042054,120157615.16512594,267684580.88517952
PL_new_SOAP_direct_raw,300000000.0,0.1,1.7575616207456761,54183,52680,293639000.9489291,0.5887546032557942,0.3688408464719623,0.82656756980365,173431024.64436364,107355254.25046152,254718224.02504882
PL_new_SOAP_direct_raw,300000000.0,0.1,2.0333177828202462,54183,52562,293639000.9489291,0.5353691688395,0.3236797982858103,0.7783642239752168,156864322.17832592,94583158.94036606,238059062.04459298
PL_new_SOAP_direct_raw,300000000.0,0.1,2.3366495611022704,54183,52320,293639000.9489291,0.4805585520326869,0.2827806988410666,0.7277152981510422,142161760.97639546,83664571.0586215,223263236.20462146
PL_new_SOAP_direct_raw,300000000.0,0.1,2.670314517212497,54183,51691,293639000.9489291,0.42868134684486275,0.24648226364157683,0.6733564023580257,125652384.10962927,72778419.56419455,204786653.09912604
PL_new_SOAP_direct_raw,300000000.0,0.1,3.0373459689337468,54183,50499,293639000.9489291,0.3785041855309763,0.21372692942421184,0.6188088822129734,112838579.32402419,63736798.66843276,188177253.53042054
PL_new_SOAP_direct_raw,300000000.0,0.1,3.4410805658271224,54183,48601,293639000.9489291,0.33317310676444406,0.18813184891625434,0.5591826278456221,98228906.28512734,54729037.5285008,169747337.21663502
PL_new_SOAP_direct_raw,300000000.0,0.1,3.885188622409834,54183,45729,293639000.9489291,0.29209085485868536,0.1683281915368693,0.5033120155308899,87300808.21417055,49344087.08109673,151348095.58880597
PL_new_SOAP_direct_raw,300000000.0,0.1,4.373707484650818,54183,41769,293639000.9489291,0.25647574345563695,0.1526577304713446,0.4480369030204196,76403114.71281162,45763794.91301866,134819870.80133033
PL_new_SOAP_direct_raw,300000000.0,0.1,4.9110782331159015,54183,36477,293639000.9489291,0.22830884089750922,0.1415969010431912,0.4018114281867626,67349771.51368964,42192300.02615194,121988699.159935
PL_new_SOAP_direct_raw,300000000.0,0.1,5.502186056427491,54183,30338,293639000.9489291,0.20482864125358627,0.1327009813100644,0.3588637618674923,61932306.72682303,38630704.18004446,107355254.25046152
PL_new_SOAP_direct_raw,300000000.0,0.1,6.152404662070242,54183,23713,293639000.9489291,0.1863820451358214,0.12550317565136918,0.3224144774017415,54729037.5285008,36854034.25230711,96405666.38425788
PL_new_SOAP_direct_raw,300000000.0,0.1,6.867645128277267,54183,16917,293639000.9489291,0.1714993306720493,0.12086479362574634,0.2942350631619173,51137238.76972713,36854034.25230711,89120197.39334808
PL_new_SOAP_direct_raw,300000000.0,0.1,7.654409641104996,54183,11012,293639000.9489291,0.16094370723505552,0.11629498471511795,0.2727890224260627,49344087.08109673,35080368.49332756,81847787.09624092
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.0,19064,19064,978689920.0916836,1.0,1.0,1.0,978689920.0916836,847639618.4795092,1154822527.9381032
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.06315937806691885,19064,18198,978689920.0916836,0.9818450505758564,0.9397490614392925,1.019536936270936,959961975.5428354,819572316.7108365,1143575541.7239318
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.16947531587361064,19064,17741,978689920.0916836,0.9507670383371457,0.8832562522129318,1.0088661446940395,928129203.2729603,784029022.281532,1111712353.1380177
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.2864228474609716,19064,17710,978689920.0916836,0.9181781323557012,0.815941325907054,0.9940368465139647,890686828.0293181,739146794.7786081,1085475595.6028075
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.4150651322070684,19064,17805,978689920.0916836,0.8832004414901823,0.7532835842615889,0.9813166295727497,856996621.8033969,694282462.3588947,1059242071.1308758
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.5565716454277756,19064,18035,978689920.0916836,0.8453578855839816,0.6929300707296226,0.9655647976587813,821443284.9077713,645701626.4856702,1031138618.2370259
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.7122288099705543,19064,18197,978689920.0916836,0.8059692709479763,0.6317399202370134,0.9422802199703212,784029022.281532,597146713.3947994,997419923.4583135
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.8834516909676096,19064,18339,978689920.0916836,0.762840092102331,0.573499497126653,0.9170792541088717,742886317.0522904,548621077.6530354,965580146.7768713
PL_new_SOAP_direct_raw,1000000000.0,0.1,1.0717968600643704,19064,18427,978689920.0916836,0.7155392147045239,0.5099343154962018,0.8802350219291044,696151430.6521629,494536027.0714454,922512293.5396453
PL_new_SOAP_direct_raw,1000000000.0,0.1,1.2789765460708074,19064,18555,978689920.0916836,0.6660839919526315,0.4572022787774659,0.8471160213373582,649437728.1172724,444224839.17735565,879455907.3247267
PL_new_SOAP_direct_raw,1000000000.0,0.1,1.506874200677888,19064,18636,978689920.0916836,0.6155234739876905,0.4043579251115438,0.8031973617572038,599013691.1768304,392103562.52528673,833418172.8300612
PL_new_SOAP_direct_raw,1000000000.0,0.1,1.7575616207456761,19064,18725,978689920.0916836,0.5628492071248801,0.3564706901114748,0.7583957074892836,548621077.6530354,345621896.58083546,782158598.060607
PL_new_SOAP_direct_raw,1000000000.0,0.1,2.0333177828202462,19064,18773,978689920.0916836,0.5086938492401698,0.30770447982464255,0.7051024773264658,494536027.0714454,299204144.6583456,722320488.7082087
PL_new_SOAP_direct_raw,1000000000.0,0.1,2.3366495611022704,19064,18839,978689920.0916836,0.4518247237162861,0.2647924856411493,0.6539660580085048,440499980.5374985,256570082.41103494,669989031.6177828
PL_new_SOAP_direct_raw,1000000000.0,0.1,2.670314517212497,19064,18859,978689920.0916836,0.3960827252116872,0.2217668035159921,0.5969751103692048,386522805.32041866,215870036.17319438,606482066.3520025
PL_new_SOAP_direct_raw,1000000000.0,0.1,3.0373459689337468,19064,18865,978689920.0916836,0.3404551389431123,0.18466139296562434,0.5415731249495175,334475299.50948083,180801927.90853763,548621077.6530354
PL_new_SOAP_direct_raw,1000000000.0,0.1,3.4410805658271224,19064,18836,978689920.0916836,0.28956059371992915,0.15142667275310626,0.48185260096339677,286220673.3307366,147672422.46749553,485961297.5341523
PL_new_SOAP_direct_raw,1000000000.0,0.1,3.885188622409834,19064,18717,978689920.0916836,0.24299329110471216,0.12230927079257083,0.4228162452004355,239909398.027181,120157615.16512594,421879939.67000544
PL_new_SOAP_direct_raw,1000000000.0,0.1,4.373707484650818,19064,18477,978689920.0916836,0.19976339823411504,0.09703141719729351,0.36319989196304875,197402252.44709218,94583158.94036606,362348600.280393
PL_new_SOAP_direct_raw,1000000000.0,0.1,4.9110782331159015,19064,18016,978689920.0916836,0.1616990538306602,0.07697687355097071,0.30614899955207536,160543559.542252,76403114.71281162,304770415.84150714
PL_new_SOAP_direct_raw,1000000000.0,0.1,5.502186056427491,19064,17212,978689920.0916836,0.13120963247003603,0.06337889776984204,0.2551068822274081,129317997.85796969,61932306.72682303,254718224.02504882
PL_new_SOAP_direct_raw,1000000000.0,0.1,6.152404662070242,19064,15938,978689920.0916836,0.10615106604973423,0.053379971485670606,0.21023324705767324,105528680.48777807,52932251.71044469,210327355.92321134
PL_new_SOAP_direct_raw,1000000000.0,0.1,6.867645128277267,19064,14059,978689920.0916836,0.08639593811831707,0.04651995269076826,0.1721743395311587,85482251.45969395,45763794.91301866,171589030.6430127
PL_new_SOAP_direct_raw,1000000000.0,0.1,7.654409641104996,19064,11530,978689920.0916836,0.07251296641909755,0.04208644962607683,0.14084603059438533,70967709.31031752,42192300.02615194,138489985.18592674
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.0,7100,7100,2941507730.128443,1.0,1.0,1.0,2941507730.128443,2544634317.2889566,3466517522.77906
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.06315937806691885,7100,6785,2941507730.128443,0.9812911400613392,0.9485832629512458,1.0123107200199966,2879426475.0954,2467538125.594815,3440167678.9091573
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.16947531587361064,7100,6585,2941507730.128443,0.9483504896237253,0.8862444152621275,1.0011929859134132,2775965998.002696,2362248177.295194,3331009015.61127
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.2864228474609716,7100,6594,2941507730.128443,0.9123032406075153,0.8156605409141593,0.9864726366973496,2657471287.3786106,2221259581.61679,3236914386.841545
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.4150651322070684,7100,6694,2941507730.128443,0.8741004317925523,0.746922700326835,0.9720349807451011,2547455091.3463445,2076543136.7504005,3146590705.4498377
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.5565716454277756,7100,6766,2941507730.128443,0.835961216644473,0.6820151348464802,0.9523402620622927,2440274019.678896,1922468999.4631758,3042351049.2614064
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.7122288099705543,7100,6844,2941507730.128443,0.7905695277165348,0.6145922480603757,0.9282815070593526,2311489048.884532,1764684712.361183,2943388968.6511803
PL_new_SOAP_direct_raw,3000000000.0,0.1,0.8834516909676096,7100,6855,2941507730.128443,0.743314527258303,0.5497238086391822,0.8931331129892109,2172390540.000101,1588182585.2186885,2815467844.9974766
PL_new_SOAP_direct_raw,3000000000.0,0.1,1.0717968600643704,7100,6907,2941507730.128443,0.6938241071643279,0.48801705251852867,0.8521986463241745,2027685623.6170003,1421144090.5348425,2670636651.520187
PL_new_SOAP_direct_raw,3000000000.0,0.1,1.2789765460708074,7100,6973,2941507730.128443,0.6402611678185025,0.4315571913975449,0.8067256603181656,1867990048.628236,1257043756.1852777,2529590554.6758056
PL_new_SOAP_direct_raw,3000000000.0,0.1,1.506874200677888,7100,6984,2941507730.128443,0.5891362936124854,0.38668390089573784,0.7640577633215149,1720552172.4384403,1122957659.2232866,2376762235.5259013
PL_new_SOAP_direct_raw,3000000000.0,0.1,1.7575616207456761,7100,7001,2941507730.128443,0.5334371310421503,0.33953357761352315,0.7156129829395996,1556270268.254827,980562824.7658167,2232537578.6905146
PL_new_SOAP_direct_raw,3000000000.0,0.1,2.0333177828202462,7100,7026,2941507730.128443,0.48015006664934556,0.2936041251273614,0.6671021957154942,1403319015.9060316,855125171.8352177,2074663857.36895
PL_new_SOAP_direct_raw,3000000000.0,0.1,2.3366495611022704,7100,7041,2941507730.128443,0.4233455189123741,0.25295416819136074,0.6114716603379183,1244817049.0652983,736155269.6468072,1884896582.8160686
PL_new_SOAP_direct_raw,3000000000.0,0.1,2.670314517212497,7100,7055,2941507730.128443,0.36733116866655247,0.21174017848742357,0.5556274645110281,1079853859.0674982,611411545.4149351,1689568209.7921581
PL_new_SOAP_direct_raw,3000000000.0,0.1,3.0373459689337468,7100,7051,2941507730.128443,0.3148888540084476,0.1722052787815939,0.4981003801913909,928129203.2729603,501993301.3280934,1503714833.8022888
PL_new_SOAP_direct_raw,3000000000.0,0.1,3.4410805658271224,7100,7053,2941507730.128443,0.2625810345902557,0.1393670504273483,0.43601454325652206,778417834.5402638,406989211.3440083,1319836516.7063122
PL_new_SOAP_direct_raw,3000000000.0,0.1,3.885188622409834,7100,7058,2941507730.128443,0.21743794905818364,0.11021049894774855,0.3759751844652504,645701626.4856702,321475784.36454034,1143575541.7239318
PL_new_SOAP_direct_raw,3000000000.0,0.1,4.373707484650818,7100,7048,2941507730.128443,0.17486692169896767,0.0844497953372328,0.3180005820805209,511316168.29832894,247312442.72542843,958089292.6590974
PL_new_SOAP_direct_raw,3000000000.0,0.1,4.9110782331159015,7100,7041,2941507730.128443,0.13666312474110737,0.06367751532354038,0.2649283375898205,403267314.96928966,186333020.84629923,789640463.5159271
