cosmology,spectrum,closure,target_M0_msun,M0_msun,log10_M0,z_form_fit,q_fit,a_article_recomputed,q_solved,z_form_solved,f_M0_solved,S_M0,S_M0_over_q_solved,alpha_solved,beta_solved,eq16_log_residual,half_mass_log_residual,solution_status,q_solved_over_fit,z_form_solved_over_fit
project,pl,half_mass,300000000.0,293639000.9489291,8.46781373779723,1.6254824207984182,2.610710495721191,0.29059158816246444,3.035076537513371,1.9999734133398317,0.41240877451763797,29.646685648552104,35.52623724972946,0.11984252075921611,-0.41240877451763797,-0.4170894619567501,-3.214850607946573e-11,ok,1.1625481042374068,1.2303875992442095
project,pl,half_mass,1000000000.0,978689920.0916836,8.990645115374026,1.5794554118545319,2.682748352572352,0.29059158816246444,3.029591765567336,1.8764538376721513,0.4416562369623819,24.04725745164574,29.173879067710168,0.1283415873207563,-0.4416562369623819,-0.4152806990484479,7.438494264988549e-15,ok,1.129286599938609,1.1880384995920183
project,pl,half_mass,3000000000.0,2941507730.128443,9.468569994028146,1.534320675374882,2.757473764911594,0.29059158816246444,3.023457827628209,1.7617260626550437,0.4726453938344794,19.59656714468015,24.0729697551566,0.13734677563203485,-0.4726453938344794,-0.41325397187751456,1.887379141862766e-15,ok,1.096459326685613,1.1482124245145817
project,pl,half_mass,10000000000.0,9698784587.074734,9.986717313627159,1.4820842550382407,2.8494849462951395,0.29059158816246444,3.015367357397638,1.635510910652525,0.5119613580744132,15.446715473521355,19.261988613901615,0.14877166412065587,-0.5119613580744132,-0.4105744855017328,-5.5183968505900793e-11,ok,1.0582148753999128,1.10352087277948
project,pl,half_mass,30000000000.0,29268746206.005985,10.46640411883025,1.4306618404728093,2.946447219236836,0.29059158816246444,3.0063021841461492,1.5171647613875168,0.5550016941896128,12.188071084042296,15.43454099667978,0.16127882374741798,-0.5550016941896128,-0.40756363271305385,1.0769163338864018e-14,ok,1.0203142837647086,1.0604635690053212
project,pl,half_mass,100000000000.0,100154231575.92804,11.00066930321773,1.3699216217262162,3.070100952320743,0.29059158816246444,2.9941089838560733,1.3840281395288576,0.6125564256751503,9.164903710998054,11.829968676208116,0.17800374457606455,-0.6125564256751503,-0.40349950552852665,4.773959005888173e-15,ok,0.9752477297506369,1.0102973174369392
project,pl,half_mass,300000000000.0,302039658519.0502,11.48006397059024,1.3123095559823859,3.197675071581049,0.29059158816246444,2.9809974639313133,1.263854967091082,0.6753045798699028,6.9464668418361075,9.13927485628426,0.19623783035778086,-0.6753045798699028,-0.39911078339132977,2.1538326677728037e-14,ok,0.93223901653566,0.9630768604324982
project,bt_soft,half_mass,300000000.0,293639000.9489291,8.46781373779723,1.6254824207984182,2.610710495721191,0.29059158816246444,3.0407569008087565,4.643609719375562,0.16739717511363317,87.50745869536586,123.19394178946962,0.04864421097018083,-0.16739717511363317,-0.41895928440563346,-8.76032579810726e-12,ok,1.164723896346373,2.8567578830502978
project,bt_soft,half_mass,1000000000.0,978689920.0916836,8.990645115374026,1.5794554118545319,2.682748352572352,0.29059158816246444,3.0481870923720065,3.9524317717031785,0.1987507130007275,59.786705411367436,85.10197807149375,0.057755285339303575,-0.1987507130007275,-0.4213998373924689,2.220446049250313e-16,ok,1.1362180464855207,2.50240161389703
project,bt_soft,half_mass,3000000000.0,2930219783.2678013,9.466900196149556,1.5344834589760628,2.757196569466911,0.29059158816246444,3.0520110962053035,3.3974043319237732,0.23361619118084517,41.833237867796655,60.156134094649275,0.06788690001570771,-0.23361619118084517,-0.42265356857167824,1.3322676295501878e-15,ok,1.106925465526527,2.2140377675956238
project,bt_soft,half_mass,10000000000.0,9695012225.972996,9.986548361085612,1.4821018478805978,2.849452894709729,0.29059158816246444,3.05201770009172,2.863813057858566,0.28050900439314447,28.02330285543211,40.732156737374154,0.08151355708047557,-0.28050900439314447,-0.42265573235125253,1.6653345369377348e-15,ok,1.0710890170383485,1.9322646833979809
project,bt_soft,half_mass,30000000000.0,29446231013.800102,10.469029714924165,1.4303722719431258,2.947012447269709,0.29059158816246444,3.0471886489184055,2.428490036371422,0.33478152282940155,19.13207956186005,28.054384025278686,0.09728469440644415,-0.33478152282940155,-0.4210722305295259,4.440892098500626e-16,ok,1.0339924596319592,1.6978027916273695
project,bt_soft,half_mass,100000000000.0,98642774181.72794,10.994065277647634,1.3706947305735138,3.068460045094754,0.29059158816246444,3.0356206024999235,2.013682310494307,0.4093922733709852,12.5213680488948,18.487882769163278,0.11896595090031639,-0.4093922733709852,-0.4172687049635354,-3.752509414312044e-11,ok,0.9892977447604938,1.469096120076102
project,bt_soft,half_mass,300000000000.0,286127049092.62915,11.456558915884209,1.3152028962704494,3.191008674302086,0.29059158816246444,3.019344861434443,1.6946221404901654,0.4927922060098152,8.582229110149207,12.700096334066883,0.14320126977847655,-0.4927922060098152,-0.4118926939933599,1.8807178037150152e-13,ok,0.9462039027815593,1.288487232879158
