box_hinv_Mpc,model,label,snapshot,redshift,reference_model,k_hMpc,P_sim_Mpc_over_h_cubed,P_hmcode_Mpc_over_h_cubed,sim_over_hmcode,sim_over_hmcode_minus_1,source_file
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,3.2072956064e-01,5.0323917086e+02,1.2177426818e+03,4.1325575460e-01,-5.8674424540e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,5.6066196834e-01,2.3437759382e+02,6.5514456664e+02,3.5774942776e-01,-6.4225057224e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,7.8770010985e-01,1.4300128805e+02,4.7309865172e+02,3.0226526228e-01,-6.9773473772e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.0205350124e+00,1.0868620653e+02,3.7016989859e+02,2.9361168193e-01,-7.0638831807e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.2811623763e+00,1.0311677669e+02,2.9352073173e+02,3.5131002870e-01,-6.4868997130e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.5386083751e+00,7.8631618341e+01,2.3856961350e+02,3.2959611740e-01,-6.7040388260e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.7773229369e+00,7.7708090445e+01,1.9932584089e+02,3.8985457229e-01,-6.1014542771e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,2.0169221746e+00,6.7868298750e+01,1.6820526762e+02,4.0348497826e-01,-5.9651502174e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,2.2763702483e+00,6.2003846117e+01,1.4147524722e+02,4.3826639171e-01,-5.6173360829e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,2.5367369098e+00,5.5453723629e+01,1.2021481179e+02,4.6128861166e-01,-5.3871138834e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
