box_hinv_Mpc,model,snapshot,redshift,k_hMpc,P_model_over_P_PL,pl_source_file,model_source_file
25,BTKP1,0056,-2.2204460490e-16,3.2072956064e-01,9.9783961210e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,5.6066196834e-01,9.9392911414e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,7.8770010985e-01,9.9370158078e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,1.0205350124e+00,9.9145788222e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,1.2811623763e+00,1.0052892302e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,1.5386083751e+00,1.0126617502e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,1.7773229369e+00,1.0200625956e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,2.0169221746e+00,1.0132308789e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,2.2763702483e+00,1.0004552695e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,2.5367369098e+00,9.8985947597e-01,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,2.7799951338e+00,1.0075858201e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,3.0232513460e+00,1.0124364368e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,3.2785072535e+00,1.0286112836e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,3.5320903813e+00,1.0305376288e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,3.7740842065e+00,1.0305702922e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,4.0223998294e+00,1.0371404798e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,4.2805525231e+00,1.0471085903e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,4.5370907337e+00,1.0467581877e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,4.7843548086e+00,1.0597132446e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,5.0312139591e+00,1.0594119406e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,5.2859573114e+00,1.0691392529e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,5.5382491788e+00,1.0951066372e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
25,BTKP1,0056,-2.2204460490e-16,5.7859851417e+00,1.0718930534e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/bluetilted_kp1_ms1.5_25_snap0056.npz
